Unnamed: 0,Sno,candidate_name,age,constituency,party,education_details,education,criminal_cases,total_assets,assets_description,liabilities_description,total_liabilities,url,constituency_id,candidate_id,Election_Type,party_id,en,hi
0,496,Mahesh Paswan,48,AGIAON (SC),BJP,Post Graudation (Political Science) from S.B. College Ara,Post Graduate,0,855000,8 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=799,236,799,General,0,done,done
1,1153,Suraj Bhan,31,AGIAON (SC),IND,Literate,Literate,2,28617000,2 Crore,1 Lacs,150000.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=149,236,149,General,1,done,done
2,1093,Shyam Bihari Choudhary,39,AGIAON (SC),IND,Law Graduation from V.K.S.U. Ara in 2014,Graduate Professional,1,260000,2 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=783,236,783,General,1,done,done
3,1072,Shiv Prakash Ranjan,40,AGIAON (SC),CPI(ML)(L),"LLB from Maharaja College Ara, Veer Kunwar Singh University, Arain 2019, Graduation from Maharaja College, Ara in 2012",Graduate Professional,4,3069535,30 Lacs,12 Lacs,1260000.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=150,236,150,General,2,done,done
4,185,Basant Kumar Ram,36,AGIAON (SC),Voters Party International,Matric from Bihar Sanskrit School Patna in 2006,10th Pass,0,1010000,10 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=782,236,782,General,3,done,done
5,859,Ramesh Kumar,46,AGIAON (SC),Jan Suraaj Party,Ph.D from Veer Kunwar Singh University Ara in 2010,Doctorate,0,14935000,1 Crore,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=352,236,352,General,4,done,done
6,606,Mukesh Kumar Ram,39,AGIAON (SC),BSP,"Ph.D &amp; M.A. from Veer Kunwar Singh University, Ara",Doctorate,0,2955510,29 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=148,236,148,General,5,done,done
7,182,Barun Deo,54,AGIAON (SC),Janshakti Janta Dal,"LLB, B.A. (H) Pol. Sec. from Hindu College",Graduate Professional,0,300000,3 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=902,236,902,General,6,done,done
8,1238,Vijay Mehra,31,AGIAON (SC),IND,"M.A. from H.D. Jain College Ara, Veer Kunwar Singh University Ara",Post Graduate,0,410000,4 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=353,236,353,General,1,done,done
9,930,Rubi Kumari,26,ALAMNAGAR,IND,Intermediate  from RKJL College Khurhan Dist. Madhepura in 2023,12th Pass,0,677000,6 Lacs,1 Lacs,160000.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=467,113,467,General,1,done,done
10,244,Chano Rishidev,56,ALAMNAGAR,IND,Illiterate,Illiterate,0,535000,5 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=925,113,925,General,1,done,done
11,40,Akhatar Mansuri,42,ALAMNAGAR,The National Road Map Party of India,10th Fukania Bihar  State Madarsa Education Board Patna,10th Pass,0,1936000,19 Lacs,,0.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=19,113,19,General,7,done,done
12,203,Binod Ashish,52,ALAMNAGAR,IND,B.A.  from BNMU Madhepura Purniya College Purnia 1995,Graduate,0,2414196,24 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=924,113,924,General,1,done,done
13,589,Mohan Sharma,56,ALAMNAGAR,Rashtriya Jansambhavna Party,"Inter from Jaiprakash Narayan College, Naryanpur College 1994, 2nd Division",12th Pass,0,1095000,10 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=927,113,927,General,8,done,done
14,54,Amar Kumar Singh,42,ALAMNAGAR,IND,"DMLT (Diploma) From D.M.C.H. Bihar Para Medical Para Dental Darbhanga, Year- 2007 &amp; Under Graduate (Science) B.S.A Chandrakant College Patna in 2003",Others,0,6831000,68 Lacs,,,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=800,113,800,General,1,done,done
15,1120,Subodh Kumar Suman,48,ALAMNAGAR,Jan Suraaj Party,"Intermediate from Baba Bisu Rauth College, Chausa Madhepura Bihar Intermediate Council Patna 1993",12th Pass,6,7288568,72 Lacs,54 Thou,54719.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=468,113,468,General,4,done,done
16,1257,Vikram Kumar Gupta,25,ALAMNAGAR,IND,School of Open Learning Delhi University,Graduate,0,10500,10 Thou,25 Thou,25000.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=926,113,926,General,1,done,done
17,619,Nabin Kumar,40,ALAMNAGAR,Vikassheel Insaan Party,Diploma in Civil Engineering From JRM Rajasthan University Udaipur in 2010,Others,0,32340439,3 Crore,53 Lacs,5386649.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=929,113,929,General,9,done,done
18,629,Narendra Narayan Yadav,74,ALAMNAGAR,JD(U),Graduate from DS College Katihar LNM University Darbhanga in 1974,Graduate,0,22078821,2 Crore,2 Lacs,274442.0,https://www.myneta.info/Bihar2025/candidate.php?candidate_id=903,113,903,General,10,done,done
