Sno,Candidate∇,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities,Candidate∇ Link
1,A Dhanwati Chandela A,RAJOURI GARDEN,AAP,0,10th Pass,"Rs 1,09,90,05,522~ 109 Crore+","Rs 5,31,00,000~ 5 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=651
2,Aahir Deepak Chaudharyy,BADLI,BJP,0,Graduate Professional,"Rs 1,58,41,080~ 1 Crore+","Rs 1,72,13,698~ 1 Crore+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=233
3,Aakash Goel,WAZIRPUR,IND,0,Graduate Professional,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=10
4,Aaley Mohammed Iqbal,MATIA MAHAL,AAP,1,12th Pass,"Rs 1,17,94,437~ 1 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=812
5,Abdul Rehman,SEELAM PUR,INC,3,8th Pass,"Rs 57,73,795~ 57 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=366
6,Abdul Zabbar,ADARSH NAGAR,BSP,0,8th Pass,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=426
7,Abha Jha,R K PURAM,Bhartiya Mahasangh Party,0,12th Pass,"Rs 62,09,170~ 62 Lacs+","Rs 5,40,000~ 5 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=340
8,Abhay Kumar Verma,LAXMI NAGAR,BJP,1,Graduate Professional,"Rs 1,97,80,321~ 1 Crore+","Rs 13,14,572~ 13 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=93
9,Abhishek,ROHINI,Jai Maha Bharath Party,0,Graduate Professional,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=350
10,Abhishek,ROHTAS NAGAR,NCP,0,Graduate,"Rs 42,44,000~ 42 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=633
11,Abhishek Dutt,KASTURBA NAGAR,INC,1,Post Graduate,"Rs 63,74,34,319~ 63 Crore+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=418
12,Abhishek Kumar Singh (Master Ji),BURARI,Rashtriya Janshakti Party (Secular),0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=131
13,Abrar,BALLIMARAN,Aam Aadmi Parivartan Party,0,5th Pass,"Rs 1,65,875~ 1 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=459
14,Adarsh Shastri,DWARKA,INC,2,Graduate,"Rs 6,66,59,648~ 6 Crore+","Rs 12,31,646~ 12 Lacs+",https://www.myneta.info/Delhi2025/candidate.php?candidate_id=398
15,Adeel Ahmad Khan,MUSTAFABAD,AAP,0,Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=301
16,Advocate Mehak Dogra,GHONDA,NCP,0,Graduate Professional,"Rs 37,19,000~ 37 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=761
17,Afsana Sarwar,KIRARI,Peace Party,0,Illiterate,"Rs 1,07,000~ 1 Lacs+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=524
18,Ajay Kumar,SEEMA PURI,Peoples Party of India (Democratic),0,Post Graduate,,,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=607
19,Ajay Kumar Singh,RITHALA,IND,0,Post Graduate,"Rs 33,785~ 33 Thou+",Rs 0~,https://www.myneta.info/Delhi2025/candidate.php?candidate_id=641
