serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
0,A. Hemanth,6282,IND,0,5th Pass,28,"50,000",50 Thou,0,
1,Abdul Waris,6931,SDPI,4,8th Pass,58,"51,10,000",51 Lacs,0,
2,Adala Prabhakara Reddy,5056,YSRCP,0,12th Pass,70,"2,21,16,63,364",221 Crore,"15,22,81,255",15 Crore
3,Adari Anand Kumar,5017,TDP,0,10th Pass,43,"41,05,47,212",41 Crore,"20,55,91,400",20 Crore
4,Adinarayana Inty,5049,BJP,1,Post Graduate,67,"3,38,85,898",3 Crore,"44,79,155",44 Lacs
5,Adiraju Yedla,4688,INC,0,Post Graduate,52,"4,72,14,000",4 Crore,"30,88,876",30 Lacs
6,Ahmed Ali Khan,6932,INC,0,12th Pass,42,"15,88,31,414",15 Crore,0,
7,Akula Satyanarayana,6224,Janasena Party,0,Post Graduate,55,"67,39,24,565",67 Crore,"46,19,54,372",46 Crore
8,Alaga Ravi Kumar,6243,IND,0,10th Pass,49,0,0,0,
9,Allu Venkata Reddy,4801,Pyramid Party of India,0,Graduate Professional,49,0,0,"12,90,000",12 Lacs
10,Ameen Peeran Shaik,4624,Ambedkar National Congress,0,Post Graduate,48,"83,993",83 Thou,"9,000",9 Thou
11,Anandsagar Pogru,6182,Samaanya Praja Party,0,8th Pass,55,"46,97,147",46 Lacs,"17,02,000",17 Lacs
12,Andukuri Vijaya Bhaskar,6262,India Praja Bandhu Party,0,Graduate Professional,49,"5,000",5 Thou,0,
13,Ankadi Sathibabu,4689,IND,0,Illiterate,45,"50,000",50 Thou,0,
14,Anmish Varma,6195,IND,0,Post Graduate,26,"75,000",75 Thou,0,
15,Anumula Vamsi Krishna,6174,IND,0,Post Graduate,41,"50,000",50 Thou,"1,00,000",1 Lacs
16,Appala Naidu Tummagonta,6203,IND,0,10th Pass,38,0,0,0,
17,Appalakonda Vangalapudi,6213,Mundadugu Praja Party,0,Post Graduate,28,"5,14,707",5 Lacs,"5,08,707",5 Lacs
18,Araveti Hazarath Rao,4800,Pyramid Party of India,0,Graduate Professional,68,"1,49,24,686",1 Crore,"1,80,700",1 Lacs
19,Asadi Venkatadri,5068,Rashtriya Krantikari Samajwadi Party,0,12th Pass,61,0,0,"80,000",80 Thou
20,Ashok Gajapathi Raju Pusapati,4673,TDP,0,12th Pass,67,"18,35,34,582",18 Crore,0,
21,B Ramesh,7006,Viduthalai Chiruthaigal Katchi,0,Graduate Professional,43,"21,24,951",21 Lacs,"3,98,000",3 Lacs
22,B. Jaya Venu Gopal,6190,Pyramid Party of India,0,12th Pass,30,"95,000",95 Thou,0,
23,B. Shiva Kumar,7017,IND,0,10th Pass,40,"52,37,200",52 Lacs,"6,27,000",6 Lacs
24,B.C. Ramanatha Reddy,6919,IND,1,Graduate,54,"2,64,18,457",2 Crore,"23,29,020",23 Lacs
25,Balashowry Vallabhaneni,4794,YSRCP,2,Post Graduate,50,"99,05,75,840",99 Crore,"74,63,10,844",74 Crore
26,Balli Durgaprasad Rao,5060,YSRCP,0,Graduate Professional,63,"1,74,26,921",1 Crore,0,
27,Bandaru Rajeswara Rao,6228,Jana Jagruti Party,0,5th Pass,59,"2,05,700",2 Lacs,0,
28,Bandreddi Ramakrishna,6248,Janasena Party,0,Post Graduate,44,"10,08,00,000",10 Crore,"3,76,00,000",3 Crore
29,Beeda Masthan Rao,6972,TDP,0,Graduate,60,0,0,"68,09,73,688",68 Crore
30,Bellamkonda Saibabu,6909,Janasena Party,0,Graduate Professional,49,"1,38,66,784",1 Crore,"24,72,903",24 Lacs
31,Bellana Chandra Sekhar,5013,YSRCP,4,Graduate Professional,57,"2,10,35,766",2 Crore,"1,11,30,148",1 Crore
32,Betha Vivekananda Maharaj,5011,IND,0,Graduate,33,"1,33,000",1 Lacs,0,
33,Bharat Mathukumilli,4675,TDP,0,Post Graduate,29,"2,32,53,73,550",232 Crore,"95,91,144",95 Lacs
34,Bhuma Kishor Reddy,6920,IND,0,10th Pass,35,"1,95,74,000",1 Crore,"22,75,000",22 Lacs
35,Biddika Ramaiah,6172,IND,0,Illiterate,57,"4,15,000",4 Lacs,0,
36,Billa Chennaiah,6912,IND,0,12th Pass,49,"28,37,000",28 Lacs,"18,46,848",18 Lacs
37,Bolisetty Hari Babu,6255,IND,1,Illiterate,60,"4,56,08,000",4 Crore,"1,09,44,696",1 Crore
38,Bommi Srihari Rao,7007,BJP,0,Graduate,44,"17,02,000",17 Lacs,0,
39,Bonaboyina Srinivasa Rao,6289,Janasena Party,1,10th Pass,50,0,0,"1,24,82,935",1 Crore
40,Buddala Geetha Devi,6211,Praja Shanthi Party,0,5th Pass,34,"32,000",32 Thou,0,
41,Bussa Nagaraju,6309,IND,1,Others,29,"1,94,000",1 Lacs,0,
42,Butti Nagaraju,5057,IND,0,Post Graduate,49,"94,30,000",94 Lacs,"40,73,216",40 Lacs
43,C. Punyamurthy,6280,BSP,4,Others,45,"3,03,23,800",3 Crore,"2,16,35,686",2 Crore
44,C. Surendra Nath Reddy,6921,IND,0,12th Pass,54,"9,25,000",9 Lacs,0,
45,Chadipirala Adi Narayana Reddy,4816,TDP,0,Post Graduate,61,"3,07,42,398",3 Crore,"9,61,319",9 Lacs
46,Chadipiralla Siva Narayana Reddy,4817,Navarang Congress Party,0,Others,53,"1,13,20,100",1 Crore,"5,91,000",5 Lacs
47,Challagali Kishore Kumar,6307,BJP,1,Graduate Professional,43,"31,85,877",31 Lacs,0,
48,Chandra Rajagopal,4818,CPI(M),2,10th Pass,67,"23,53,200",23 Lacs,"2,40,000",2 Lacs
49,Cheemala. Rangappa,4822,INC,0,Graduate Professional,60,0,0,0,
50,Chevuru Devakumar Reddy,5055,INC,2,12th Pass,61,"7,38,19,429",7 Crore,"39,48,741",39 Lacs
51,China Nageswara Rao Sadhu,6305,Mundadugu Praja Party,0,Post Graduate,35,"12,59,090",12 Lacs,"1,96,000",1 Lacs
52,Chinnam Rama Kotayya,6241,BJP,0,10th Pass,58,"10,09,61,778",10 Crore,"77,13,964",77 Lacs
53,Chinni Venkateswarlu,6973,Pyramid Party of India,0,Literate,67,"12,80,000",12 Lacs,0,
54,Chinta Anuradha,5028,YSRCP,0,Graduate,46,"8,59,93,362",8 Crore,"24,31,407",24 Lacs
55,Chinta Mohan,5059,INC,0,Graduate Professional,64,"2,28,08,300",2 Crore,"20,07,093",20 Lacs
56,Chintala Partha Sarathi,6201,Janasena Party,0,Post Graduate,56,"33,53,08,506",33 Crore,"11,09,28,567",11 Crore
57,D. Mahammad Rafi,6918,B. C. United Front,0,10th Pass,29,"50,000",50 Thou,"1,90,000",1 Lacs
58,D. P. Jamal Basha,6917,Anna YSR Congress Party,0,10th Pass,48,"4,50,000",4 Lacs,"70,000",70 Thou
59,D.A. Sathya Prabha,5066,TDP,0,12th Pass,68,0,0,"59,32,75,186",59 Crore
60,Daggubati Purandeswari,6189,BJP,0,Graduate,58,"32,40,38,450",32 Crore,"3,49,49,036",3 Crore
61,Dandu Seshu Yadav,6934,SP,0,Graduate Professional,39,"19,50,000",19 Lacs,0,
62,Dasari Kiran Babu,6265,IND,0,8th Pass,37,"59,80,980",59 Lacs,"26,45,782",26 Lacs
63,Dasari Krishna Murthy,6235,India Praja Bandhu Party,0,10th Pass,32,"7,03,000",7 Lacs,"1,53,000",1 Lacs
64,Devarapogu Maddilety,6935,IND,1,10th Pass,45,"5,23,616",5 Lacs,0,
65,Dhanalakoti Ramana,6186,IND,0,Post Graduate,29,"8,60,000",8 Lacs,0,
66,Dileep Kilaru,4799,BJP,0,Graduate Professional,48,"1,36,90,17,847",136 Crore,"42,62,122",42 Lacs
67,Doctor Daggumati Sreehari Rao,7008,BSP,0,Graduate Professional,52,"60,45,000",60 Lacs,"52,79,699",52 Lacs
68,Dola Jagan Mohana Rao,5010,INC,0,Post Graduate,53,"1,23,90,000",1 Crore,"38,46,000",38 Lacs
69,Donam Neelakantam,6209,All India Praja Party,0,Post Graduate,49,0,0,"6,40,000",6 Lacs
70,Doppalapudi Veera Das,6264,IND,0,Graduate,60,"59,90,000",59 Lacs,"8,80,000",8 Lacs
71,Dr Gandi Venkata Satyanarayana Rao,6200,BJP,0,Post Graduate,65,"5,76,88,924",5 Crore,"94,97,894",94 Lacs
72,Dr Sanjeev Kumar,5054,YSRCP,0,Post Graduate,52,"32,59,14,387",32 Crore,"6,20,70,621",6 Crore
