serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
0,Bandey Mili,7192,JD(S),0,12th Pass,38,"1,27,20,974",1 Crore,0,
1,C. C. Singpho,7193,IND,0,Graduate,68,"2,73,03,830",2 Crore,0,
2,Jarjum Ete,7187,JD(S),0,Post Graduate,56,"3,82,65,000",3 Crore,0,
3,Jomin Nyokir Kara,7188,AIFB,0,Graduate,38,"2,39,90,000",2 Crore,0,
4,Khyoda Apik,7189,NPP,1,12th Pass,42,"30,07,37,886",30 Crore,"75,00,000",75 Lacs
5,Kiren Rijiju,5123,BJP,0,Graduate Professional,47,"1,52,79,000",1 Crore,0,
6,Lowangcha Wanglat,7190,INC,0,Graduate,69,"35,35,30,297",35 Crore,"41,68,771",41 Lacs
7,Mongol Yomso,7191,Peoples Party of Arunachal,0,12th Pass,47,"1,04,52,925",1 Crore,0,
8,Nabam Tuki,7185,INC,1,Graduate,51,"1,00,29,50,534",100 Crore,"20,49,55,775",20 Crore
9,Rumak Jomoh,5124,IND,0,Graduate Professional,32,0,0,0,
10,Subu Kechi,7186,Peoples Party of Arunachal,0,Graduate Professional,45,"19,55,000",19 Lacs,0,
11,Tapir Gao,5125,BJP,0,Post Graduate,54,"13,66,28,259",13 Crore,0,
