serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
0,Abdul Aziz,5575,NPP,0,Graduate,60,"35,94,488",35 Lacs,0,
1,Abdul Khaleque,8223,INC,0,Post Graduate,44,"73,98,753",73 Lacs,"27,03,693",27 Lacs
2,Abu Taher Bepari,8228,INC,1,Post Graduate,52,"3,73,95,652",3 Crore,"22,10,543",22 Lacs
3,Ainul Haque,5926,Asom Jana Morcha,0,10th Pass,36,"20,00,000",20 Lacs,0,
4,Ajoy Kumar Sarkar,5899,AIFB,0,12th Pass,64,"2,88,098",2 Lacs,0,
5,Alakesh Roy,8229,Hindusthan Nirman Dal,0,Graduate,39,"25,40,000",25 Lacs,0,
6,Alimuddin Ahmed,9091,IND,0,Post Graduate,47,"73,73,200",73 Lacs,"29,14,356",29 Lacs
7,Amiya Kumar Handique,5593,CPI(M),0,Post Graduate,65,"6,33,000",6 Lacs,0,
8,Anamika Sarkar,8230,IND,0,Post Graduate,43,"62,00,000",62 Lacs,0,
9,Anil Borgohain,4713,INC,0,10th Pass,51,0,0,0,
10,Anup Pratim Borbaruah,5592,NCP,0,Post Graduate,51,"5,47,573",5 Lacs,0,
11,Anupam Singha,5901,IND,0,12th Pass,34,"1,90,360",1 Lacs,0,
12,Apurba Saikia,5589,IND,0,Graduate,44,"6,13,735",6 Lacs,0,
13,Arbin Kumar Boruah,5582,IND,0,10th Pass,34,"58,57,886",58 Lacs,0,
14,Arfan Ali,9071,IND,0,12th Pass,37,"47,71,389",47 Lacs,0,
15,Aroon Barooa,9070,Purvanchal Janta Party (Secular),0,Post Graduate,62,"7,03,000",7 Lacs,0,
16,Arup Kalita,5376,CPI,0,Graduate Professional,51,"25,19,069",25 Lacs,0,
17,Ashahak Ali Dewan,7841,AITC,0,Graduate,65,"13,60,000",13 Lacs,0,
18,Ashitava Dutta,5915,IND,0,Post Graduate,44,"4,60,000",4 Lacs,"2,02,952",2 Lacs
19,Ashutosh Bhattacharjee,5917,IND,0,10th Pass,42,0,0,"8,00,000",8 Lacs
20,Azgor Ali,5936,Purvanchal Janta Party (Secular),0,10th Pass,38,"9,50,000",9 Lacs,0,
21,Badruddin Ajmal,7388,AIUDF,7,Post Graduate,63,"78,80,64,044",78 Crore,"1,01,59,381",1 Crore
22,Badrul Islam Barbhuiya,5913,AIFB,0,Graduate,44,"26,36,943",26 Lacs,0,
23,Bhaben Baruah,5590,NPP,1,12th Pass,59,"1,73,39,652",1 Crore,0,
24,Bhadreswar Barman,8224,National Republican Congress,0,12th Pass,45,"80,300",80 Thou,0,
25,Bhubaneswar Kalita,5566,INC,0,Post Graduate,67,"12,66,99,173",12 Crore,0,
26,Bhupen Narah,5597,Voters Party International,0,Post Graduate,56,"7,46,500",7 Lacs,0,
27,Bijoy Kumar Tiru,5568,IND,0,Graduate,68,"41,36,542",41 Lacs,"1,00,000",1 Lacs
28,Biraj Deka,7848,CPI(M),0,Post Graduate,26,"15,33,900",15 Lacs,"2,48,000",2 Lacs
29,Biren Singh Engti,5369,INC,0,Post Graduate,76,0,0,0,
30,Bobbeeta Sharma,7393,INC,0,Post Graduate,52,"16,23,99,812",16 Crore,"1,75,91,733",1 Crore
31,Chandan Das,5563,AITC,0,12th Pass,27,"18,50,000",18 Lacs,0,
32,Charan Iswary,8240,Purvanchal Janta Party (Secular),0,10th Pass,39,"5,65,596",5 Lacs,"25,000",25 Thou
33,Chitralekha Das,7840,SUCI(C),0,Graduate Professional,64,"22,70,544",22 Lacs,0,
34,Dilip Moran,5596,Assam Dristi Party,0,12th Pass,52,"2,96,22,141",2 Crore,"15,91,682",15 Lacs
35,Dr. Avijit Chakraborty,7845,Bharatiya Gana Parishad,0,Graduate Professional,49,"12,71,260",12 Lacs,0,
36,Dr. Faruk Ahmed Bhuyan,8232,IND,0,Others,40,"92,72,500",92 Lacs,"2,00,000",2 Lacs
37,Dr. Titus Bhengra,5586,Bahujan Mukti Party,0,Doctorate,60,"9,10,903",9 Lacs,0,
38,Gandheswar Mochahari,5930,Voters Party International,0,12th Pass,47,"11,50,000",11 Lacs,0,
39,Gaurav Gogoi,4926,INC,0,Post Graduate,36,0,0,"12,50,000",12 Lacs
40,Hem Kanta Miri,4874,SUCI(C),0,Graduate Professional,37,"2,56,271",2 Lacs,0,
41,Hiralal Rabidas,5907,IND,0,8th Pass,43,"54,53,171",54 Lacs,0,
42,Hitabrata Roy,5912,AITC,0,Graduate Professional,76,"33,65,000",33 Lacs,0,
43,Holiram Terang,5922,Autonomous State Demand Committee,0,Graduate,61,"5,37,85,471",5 Crore,"50,00,000",50 Lacs
44,Horen Sing Bey,5368,BJP,2,Graduate,49,"2,06,93,570",2 Crore,"59,56,209",59 Lacs
45,Israil Nanda,5588,IND,0,10th Pass,62,"87,97,182",87 Lacs,"10,04,704",10 Lacs
46,Jayanta Kumar Kalita,5928,IND,0,Graduate,41,"41,60,000",41 Lacs,"1,55,000",1 Lacs
47,Johirul Islam Khan,9077,Purvanchal Janta Party (Secular),0,Graduate,36,"4,78,362",4 Lacs,0,
48,Junmoni Devi Khaund,8233,IND,0,Post Graduate,43,"34,42,70,772",34 Crore,"13,16,43,595",13 Crore
49,Kamala Raj Konwar,5579,NPP,0,10th Pass,60,0,0,0,
50,Kanak Gogoi,4872,CPI,0,Post Graduate,42,"23,894",23 Thou,0,
51,Kazi Nekib Ahmed,5931,IND,0,Graduate,60,"1,70,22,000",1 Crore,0,
52,Kripanath Mallah,5897,BJP,0,Graduate,46,"18,71,040",18 Lacs,0,
53,Kumar Deepak Das,8225,Asom Gana Parishad,1,Graduate Professional,66,"2,37,01,000",2 Crore,"10,32,000",10 Lacs
54,Lienkhochon,5921,NPP,0,8th Pass,39,"68,30,962",68 Lacs,"16,06,436",16 Lacs
55,M.G.V.K. Bhanu,5373,INC,0,Post Graduate,60,"8,28,46,198",8 Crore,0,
56,Mahendra Bhuyan,5371,NCP,2,Graduate,67,"63,04,000",63 Lacs,0,
57,Mahendra Orang,5567,Voters Party International,0,10th Pass,41,"40,000",40 Thou,0,
58,Mamoni Sarma,9092,Purvanchal Janta Party (Secular),0,10th Pass,55,"61,000",61 Thou,0,
59,Mani Ram Basumatari,5929,Hindusthan Nirman Dal,0,10th Pass,41,0,0,0,
60,Manoj Sharma,7392,AITC,5,10th Pass,45,"73,00,018",73 Lacs,"18,33,258",18 Lacs
61,Matiar Rahman,9072,The National Road Map Party of India,0,10th Pass,35,"5,03,696",5 Lacs,0,
62,Md Ambaz Uddin,5595,IND,0,10th Pass,51,"1,00,000",1 Lacs,0,
63,Md. Hariqul Islam Bhuyan,5573,Asom Jana Morcha,0,Graduate Professional,51,"38,20,000",38 Lacs,0,
64,Md. Nurul Huda Imdadul Islam Saikia,5585,IND,0,Graduate,51,"70,41,827",70 Lacs,"1,648",1 Thou
65,Mehbubar Rahman,7844,RPI(A),0,10th Pass,46,"4,90,400",4 Lacs,0,
66,Mir Hussain Sarkar,9078,IND,0,Graduate,28,"1,68,201",1 Lacs,"3,59,305",3 Lacs
67,Mohendra Chandra Das,5914,IND,0,8th Pass,44,"1,62,949",1 Lacs,0,
68,Moni Madhab Mahanta,5576,Asom Gana Parishad,0,Post Graduate,41,"27,50,757",27 Lacs,0,
69,Naba Kumar Sarania,7847,IND,5,12th Pass,50,0,0,"1,75,069",1 Lacs
70,Nandita Nag,5583,IND,0,Post Graduate,47,"1,05,58,481",1 Crore,"60,00,000",60 Lacs
71,Nazia Yasmin Mazumdar,5911,NPP,0,Graduate Professional,38,"1,11,72,625",1 Crore,"16,80,213",16 Lacs
72,Nazmul Haque Laskar,5918,IND,0,10th Pass,48,"5,19,748",5 Lacs,0,
73,Nikhil Ranjan Das,5902,Hindusthan Nirman Dal,0,10th Pass,50,"10,00,000",10 Lacs,0,
74,Nripen Das,9079,Bharatiya National Janta Dal,0,10th Pass,45,"60,000",60 Thou,0,
75,Nurul Islam Choudhury,7389,AITC,0,Graduate Professional,67,"66,23,252",66 Lacs,"1,20,410",1 Lacs
76,Paban Singh Ghatowar,5584,INC,0,Graduate,67,"5,74,88,181",5 Crore,0,
77,Pallab Lochan Das,5372,BJP,0,Graduate,41,"1,44,45,139",1 Crore,0,
78,Pankaj Das,7395,Swarna Bharat Party,0,Post Graduate,48,"5,99,50,517",5 Crore,"29,75,976",29 Lacs
79,Parikshit Roy,5898,IND,0,10th Pass,48,0,0,0,
80,Partha Pratim Baruah,8234,Voters Party International,0,Post Graduate,30,"67,050",67 Thou,0,
81,Pradan Baruah,5375,BJP,0,12th Pass,53,"1,43,07,978",1 Crore,"58,39,285",58 Lacs
82,Pradyut Bordoloi,5934,INC,0,Post Graduate,59,"7,41,43,272",7 Crore,"40,11,152",40 Lacs
83,Pramila Rani Brahma,7846,Bodoland Peoples Front,0,Graduate,69,"4,47,14,985",4 Crore,0,
84,Pranabjyoti Das Rajbonshi,9073,NPP,0,Post Graduate,45,"34,56,311",34 Lacs,0,
85,Prasanjit Kumar Das,9069,IND,0,10th Pass,32,"4,96,809",4 Lacs,0,
86,Probash Chandra Sarkar,5896,SUCI(C),0,12th Pass,47,"1,43,000",1 Lacs,0,
87,Probhu Lal Vaisnava,5598,IND,0,12th Pass,44,"19,00,000",19 Lacs,"3,24,000",3 Lacs
88,Prodeep Kumar Daimary,5565,IND,0,Post Graduate,55,"10,35,500",10 Lacs,0,
89,Puran Lal Goala,5919,IND,0,10th Pass,29,0,0,0,
90,Queen Oja,7394,BJP,0,Graduate,67,"63,02,19,570",63 Crore,"3,40,34,178",3 Crore
91,Rabindra Chandra Das,5906,IND,0,8th Pass,52,"90,000",90 Thou,0,
92,Radheshyam Biswas,5564,AIUDF,0,12th Pass,66,"1,21,70,204",1 Crore,0,
93,Rafiqul Islam,8226,AIUDF,2,Doctorate,44,"33,89,683",33 Lacs,"4,30,436",4 Lacs
94,Raj Kumar Duwara,5581,AIFB,0,10th Pass,53,"11,30,000",11 Lacs,0,
95,Rajdeep Roy,5364,BJP,0,Post Graduate,48,"2,99,01,767",2 Crore,"69,76,701",69 Lacs
96,Rajesh Narzary,7396,Voters Party International,0,12th Pass,45,"12,57,550",12 Lacs,0,
97,Rajib Kakati,8236,Hindusthan Nirman Dal,0,Graduate,46,"67,86,796",67 Lacs,"20,95,250",20 Lacs
98,Raju Das,5904,IND,0,Graduate,43,"7,17,404",7 Lacs,0,
99,Ram Bahadur Sunar,7957,NPP,0,Graduate Professional,50,0,0,"5,31,152",5 Lacs
100,Rameswar Teli,4927,BJP,0,10th Pass,48,"43,70,067",43 Lacs,0,
101,Ramnarayan Suklabaidya,5909,IND,0,5th Pass,59,"1,00,000",1 Lacs,0,
102,Ranjoy Kr. Brahma,9068,IND,0,Post Graduate,30,"1,02,438",1 Lacs,0,
103,Ratul Kumar Choudhury,8237,SP,0,Graduate,47,"24,41,699",24 Lacs,"3,00,000",3 Lacs
104,Rejaul Karim,8227,RPI(A),0,10th Pass,36,"5,68,374",5 Lacs,"4,50,000",4 Lacs
105,Ribulaya Gogoi,5580,AITC,0,Graduate,38,"11,19,987",11 Lacs,585,5 Hund
106,Rubi Neog,9094,National Republican Congress,0,Graduate,40,"1,67,000",1 Lacs,0,
107,Rubul Buragohain,5587,IND,0,10th Pass,43,"1,03,362",1 Lacs,"30,000",30 Thou
108,Rukunur Zaman,9080,IND,0,8th Pass,41,"12,90,000",12 Lacs,0,
109,Sabda Ram Rabha,8242,INC,0,Graduate Professional,50,0,0,"2,00,000",2 Lacs
110,Sabindra Das,5916,IND,0,Literate,48,"1,28,684",1 Lacs,0,
111,Sadek Ali,8238,RPI(A),2,10th Pass,48,"27,73,226",27 Lacs,0,
112,Sahadeb Das,5940,AITC,1,Post Graduate,54,"4,27,137",4 Lacs,0,
113,Saiful Islam Choudhury,5374,Asom Jana Morcha,0,Graduate Professional,52,"94,21,596",94 Lacs,"12,64,426",12 Lacs
114,Saniara Parbin,9075,Voters Party International,0,Graduate,29,"50,70,000",50 Lacs,0,
115,Santanu Mukherjee,9076,Bharatiya Gana Parishad,0,Graduate,44,"12,05,081",12 Lacs,0,
116,Satyajit Das,5903,IND,0,10th Pass,35,"80,000",80 Thou,"50,000",50 Thou
117,Shajahan Sheikh,7843,Voters Party International,0,Post Graduate,49,"5,13,496",5 Lacs,0,
118,Shree Diganta Kumar Saikia,5577,Hindusthan Nirman Dal,1,10th Pass,48,"1,62,12,412",1 Crore,0,
119,Shri Dilip Saikia,5370,BJP,0,Graduate,45,0,0,0,
120,Shukur Ali,9081,IND,0,12th Pass,26,"2,50,000",2 Lacs,0,
121,Shuvadip Datta,5910,IND,0,12th Pass,53,"73,70,000",73 Lacs,"5,00,000",5 Lacs
122,Shyam Deo Kurmi,5367,SUCI(C),0,Post Graduate,66,"47,31,177",47 Lacs,0,
123,Smt. Sushmita Dev,5365,INC,1,Post Graduate,46,"10,67,07,145",10 Crore,"1,94,05,127",1 Crore
124,Sri Bhaskar Sarmah,4871,IND,0,12th Pass,33,"1,09,78,456",1 Crore,0,
125,Sri Biren Basak,5924,Bharatiya Gana Parishad,0,12th Pass,44,"1,02,86,450",1 Crore,"21,87,142",21 Lacs
