serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
0,A M Izharul Haque,10208,Sathi Aur Aapka Faisala Party,0,Post Graduate,43,"8,54,501",8 Lacs,0,
1,Aakash Kumar,12090,Rashtriya Lok Samta Party,0,12th Pass,27,"2,58,67,226",2 Crore,0,
2,Abdul Ajij,9773,IND,2,8th Pass,69,"4,35,000",4 Lacs,0,
3,Abdul Bari Siddiqui,9780,RJD,0,12th Pass,67,"2,11,27,716",2 Crore,"9,11,152",9 Lacs
4,Abdul Wahid Khan,9511,IND,1,10th Pass,69,"15,45,000",15 Lacs,"1,19,028",1 Lacs
5,Abdur Rahman,5957,Peoples Party of India (Democratic),0,12th Pass,56,"2,76,540",2 Lacs,"40,000",40 Thou
6,Abha Rai,13522,IND,0,8th Pass,26,"53,96,670",53 Lacs,"6,80,000",6 Lacs
7,Abhay Kumar Sharma,12850,IND,0,Doctorate,45,"1,02,45,902",1 Crore,0,
8,Abhijit Kumar Singh,11326,IND,1,12th Pass,58,"3,00,46,633",3 Crore,"9,00,000",9 Lacs
9,Abhiram Priyadarshi,13657,IND,0,10th Pass,30,0,0,0,
10,Abhishek Kumar,12112,IND,0,Post Graduate,41,"50,82,500",50 Lacs,0,
11,Abhishek Priyadarshi,5976,IND,0,12th Pass,37,"97,09,948",97 Lacs,"40,70,000",40 Lacs
12,Abubakar Rahmani,12576,IND,0,Post Graduate,30,"7,57,606",7 Lacs,0,
13,Abul Kalam Khan,12876,IND,0,8th Pass,44,"65,33,000",65 Lacs,"10,78,000",10 Lacs
14,Aditya Pradhan,5622,Peoples Party of India (Democratic),0,Post Graduate,40,"34,06,595",34 Lacs,"1,63,050",1 Lacs
15,Ajay Kumar,10199,CPI(M),3,Post Graduate,49,"94,81,398",94 Lacs,"50,000",50 Thou
16,Ajay Kumar,5631,Bhartiya Dalit Party,1,Post Graduate,31,"64,000",64 Thou,0,
17,Ajay Kumar Mandal,5973,JD(U),0,8th Pass,41,"68,01,126",68 Lacs,"53,64,747",53 Lacs
18,Ajay Kumar Sinha,12788,IND,0,Graduate,57,"38,59,000",38 Lacs,"1,60,000",1 Lacs
19,Ajay Nishad,11089,BJP,1,Graduate,50,0,0,"1,57,14,320",1 Crore
20,Ajay Paswan,12494,SHS,2,Graduate,46,"93,52,000",93 Lacs,0,
21,Ajit Kumar,10167,JMM,0,10th Pass,36,"21,91,000",21 Lacs,"6,00,000",6 Lacs
22,Ajitansh Gaur,11087,IND,0,Post Graduate,30,"95,536",95 Thou,0,
23,Akhilesh Kumar,14168,Asli Deshi Party,0,12th Pass,44,"1,82,33,000",1 Crore,0,
24,Akhtarul Iman,5943,All India Majlis-E-Ittehadul Muslimeen,4,Post Graduate,55,"72,62,890",72 Lacs,"19,08,918",19 Lacs
25,Ali Azhar Ansari,12840,Maanavvaadi Janta Party,0,10th Pass,60,"30,35,000",30 Lacs,"15,000",15 Thou
26,Alimuddin Ansari,5377,AAP,0,10th Pass,64,"36,77,032",36 Lacs,"1,05,000",1 Lacs
27,Allamaa Shiblee Nomani Halami,10210,IND,0,10th Pass,51,"1,21,000",1 Lacs,0,
28,Amar Kumar,10503,IND,1,Literate,31,"43,00,000",43 Lacs,0,
29,Amarjeet Kumar,6002,IND,4,12th Pass,34,0,0,"22,50,000",22 Lacs
30,Amarjit Patel,10163,IND,0,Graduate,38,"1,25,45,972",1 Crore,"6,34,728",6 Lacs
31,Amarjit Prasad,12808,IND,0,10th Pass,41,"10,66,095",10 Lacs,0,
32,Amarnath Yadav,12111,CPI(ML)(L),12,Literate,54,"80,89,901",80 Lacs,0,
33,Amit Chaudhary,11346,IND,9,10th Pass,42,"3,18,37,493",3 Crore,0,
34,Amit Kumar Gupta,14172,IND,0,12th Pass,30,"1,00,000",1 Lacs,0,
35,Amit Vikram,12119,Jantantrik Vikas Party,0,10th Pass,39,"29,97,200",29 Lacs,"3,50,000",3 Lacs
36,Amrendra Kumar Yadav,10209,Pragatishil Samajwadi Party (Lohia),1,Post Graduate,46,"32,56,028",32 Lacs,0,
37,Anamika Kumari,13049,SUCI(C),0,Post Graduate,39,"24,070",24 Thou,0,
38,Anand Kumar Jha,12572,Akhil Bhartiya Mithila Party,0,Post Graduate,39,"1,89,200",1 Lacs,0,
39,Anand Kumar Maurya,13519,Bahujan Azad Party,0,Post Graduate,36,0,0,"7,43,000",7 Lacs
40,Anand Pathak,9188,Hind Samrajya Party,1,Graduate,32,"68,50,000",68 Lacs,0,
