serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
0,Parmar Vijay,11311,BSP,4,12th Pass,48,"5,35,000",5 Lacs,0,
1,A. J. Patel,8013,INC,0,Graduate Professional,73,"69,87,73,712",69 Crore,"9,62,20,673",9 Crore
2,Aamin Mamadbhai Safiya,9429,IND,0,8th Pass,30,"46,100",46 Thou,0,
3,Aantroliya Karabhai,9418,IND,0,8th Pass,40,"7,60,000",7 Lacs,"13,29,600",13 Lacs
4,Abdulkudus Abdulmajid Molapiya,9309,IND,0,Literate,44,"7,56,000",7 Lacs,0,
5,Alimamad Palani,9431,IND,0,5th Pass,38,"1,80,000",1 Lacs,"38,000",38 Thou
6,Alpesh Vadoliya,9419,IND,0,Graduate,33,"75,124",75 Thou,0,
7,Amandbhai,9443,IND,0,Literate,69,"4,60,000",4 Lacs,0,
8,Amardas Desani,9401,IND,1,Post Graduate,52,"81,54,624",81 Lacs,0,
9,Amit Shah,8016,BJP,4,12th Pass,54,0,0,"47,69,587",47 Lacs
10,Amrutham Narsaiya,9028,Pyramid Party of India,0,10th Pass,58,"83,74,000",83 Lacs,"1,70,000",1 Lacs
11,Anishbhai Gaffarbhai Bhimani,9039,IND,0,10th Pass,62,"1,50,000",1 Lacs,0,
12,Arvindbhai Bhanabhai Rathod,10350,IND,0,5th Pass,49,"1,57,500",1 Lacs,0,
13,Ashok Vallabhbhai Pate,8511,INC,0,8th Pass,45,"1,90,12,482",1 Crore,"31,25,964",31 Lacs
14,Atulbhai Nanubhai Kathiriya,9381,IND,0,Graduate,34,"28,95,740",28 Lacs,"33,199",33 Thou
15,Babubhai Talaviya,8777,Bahujan Mukti Party,0,Graduate Professional,65,"7,95,782",7 Lacs,0,
16,Babulal Amarshi Vaghela,8971,IND,0,Illiterate,55,"30,000",30 Thou,0,
17,Bagda Himmatbhai Danjibhai,9047,IND,2,Graduate Professional,50,"97,01,209",97 Lacs,0,
18,Baraiya Rameshbhai Parsottambhai,8808,IND,0,5th Pass,55,"1,53,20,000",1 Crore,0,
19,Barot Kuldipkumar Bharatkumar,9328,Yuva Jan Jagriti Party,0,Graduate,30,0,0,"8,50,000",8 Lacs
20,Bathvar Nanji Amarshi,10062,IND,0,Literate,56,"3,10,000",3 Lacs,0,
21,Baxi Mrudul Ashwinkumar,10063,IND,0,Post Graduate,30,"1,18,500",1 Lacs,0,
22,Bhabhor Dhulabhai Ditabhai,8400,BSP,0,10th Pass,64,"71,845",71 Thou,0,
23,Bhailalbhai Pandav,8395,BSP,0,10th Pass,36,"6,50,000",6 Lacs,0,
24,Bhanderi Amarshibhai Chhaganbhai,10066,IND,0,8th Pass,47,"11,27,34,000",11 Crore,"9,24,75,000",9 Crore
25,Bhanjibhai Shekhava,10048,IND,0,8th Pass,46,"16,70,000",16 Lacs,"60,000",60 Thou
26,Bhanubhai Odedra,9411,IND,0,Graduate Professional,49,"21,77,555",21 Lacs,"8,20,000",8 Lacs
27,Bharat Ramjibhai Dagara,9433,IND,0,8th Pass,33,"1,20,400",1 Lacs,0,
28,Bharatbhai Chhotabhai Solanki,8977,IND,0,12th Pass,38,"3,51,827",3 Lacs,"2,15,000",2 Lacs
29,Bharatbhai Madhavsinh Solanki,8504,INC,0,Graduate Professional,65,0,0,"19,34,855",19 Lacs
30,Bhargav Joshi,9413,Gujarat Janta Panchayat Party,0,8th Pass,46,"12,98,006",12 Lacs,"3,61,000",3 Lacs
31,Bharkhani Karabhai Jivabhai,10065,IND,0,Illiterate,50,"91,000",91 Thou,0,
