serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
0,Bajrang Vats,13254,IND,0,Graduate Professional,29,"31,89,687",31 Lacs,0,
1,Bijender,13255,IND,0,5th Pass,38,"31,16,503",31 Lacs,"6,30,000",6 Lacs
2,Mange Ram Verma,13256,IND,0,12th Pass,50,"1,47,04,649",1 Crore,0,
3,Pardeep Kumar,13253,IND,0,12th Pass,32,"10,73,052",10 Lacs,"6,84,517",6 Lacs
4,Saleem Din,13258,IND,0,Others,26,"1,12,150",1 Lacs,"30,100",30 Thou
5,Shamsher Singh,13257,IND,0,Illiterate,54,"4,54,48,549",4 Crore,0,
6,Sudhir Godara,13252,IND,0,Graduate Professional,42,"1,93,01,000",1 Crore,"40,43,045",40 Lacs
7,Advocate Parveen Yadav Wazirabad,13033,Akhil Bharatiya Jan Sangh,0,Graduate Professional,40,"1,40,19,800",1 Crore,0,
8,Amit Singh Patel,13294,IND,0,Graduate,33,"8,56,564",8 Lacs,0,
9,Angrej Singh Alahi,13261,Rashtriya Lokswaraj Party,0,5th Pass,41,0,0,0,
10,Anil,13283,IND,0,8th Pass,37,"81,38,602",81 Lacs,"50,000",50 Thou
11,Anil Kumar,12134,RPI(A),0,Graduate Professional,37,"16,59,500",16 Lacs,"9,10,740",9 Lacs
12,Anil Kumar,13219,IND,0,Post Graduate,40,"5,54,25,964",5 Crore,"59,42,352",59 Lacs
13,Anil Kumar,13238,Jai Jawan Jai Kisan Party,0,12th Pass,45,"3,74,500",3 Lacs,0,
14,Ankur,13237,Aapki Apni Party (Peoples),0,12th Pass,29,"16,33,000",16 Lacs,0,
15,Ankur Gill,13260,SHS,0,10th Pass,27,"11,90,000",11 Lacs,"10,00,000",10 Lacs
16,Anoop Mehta,12170,IND,0,8th Pass,54,"26,50,000",26 Lacs,"3,00,000",3 Lacs
17,Arjun Singh Chautala,13273,INLD,0,12th Pass,26,"6,30,59,996",6 Crore,"17,48,226",17 Lacs
18,Arun Kumar,12133,CPI,0,Graduate Professional,46,"16,95,000",16 Lacs,0,
19,Arvind Kumar Sharma,12513,BJP,0,Post Graduate,56,0,0,"1,67,78,090",1 Crore
20,Ashok Kumar,12189,IND,0,12th Pass,34,"38,87,828",38 Lacs,0,
21,Ashok Tanwar,12191,INC,1,Doctorate,43,"6,43,11,703",6 Crore,"74,89,962",74 Lacs
22,Ashwani,12198,IND,0,Post Graduate,35,"1,700",1 Thou,0,
23,Ashwini Sharma Hrittwal,12181,IND,0,Doctorate,55,"1,42,83,654",1 Crore,"5,00,000",5 Lacs
24,Atam Parkash,12166,IND,0,Post Graduate,63,"1,03,39,032",1 Crore,0,
25,Avtar Singh Bhadana,13299,INC,1,8th Pass,62,"12,08,03,457",12 Crore,0,
26,Azad Singh Nangalia,13037,IND,0,10th Pass,60,"69,59,900",69 Lacs,0,
27,Balveer Singh,12183,IND,0,Graduate Professional,74,"87,36,196",87 Lacs,0,
28,Balwan Singh,13187,INLD,2,12th Pass,37,"40,94,534",40 Lacs,"16,00,000",16 Lacs
29,Balwant Kataria,13295,IND,7,12th Pass,34,0,0,0,
30,Baudhycharya Khajan Isngh Gautam,13303,RPI,0,10th Pass,46,"3,92,157",3 Lacs,0,
31,Beta Mam Chand Rattuwala,12989,IND,0,Post Graduate,35,"28,85,000",28 Lacs,0,
32,Bhai Surender Dhanak,13192,Bhartiya Janraj Party,0,10th Pass,29,"8,37,000",8 Lacs,"7,10,000",7 Lacs
33,Bhavya Bishnoi,13242,INC,0,Post Graduate,26,"3,79,90,209",3 Crore,"1,79,78,516",1 Crore
34,Bhupinder Singh Hooda,13214,INC,6,Graduate Professional,72,"15,52,61,986",15 Crore,"14,40,000",14 Lacs
35,Bijender,13229,IND,0,Post Graduate,54,"3,37,52,838",3 Crore,"3,73,590",3 Lacs
36,Bijender Kumar,13230,IND,0,10th Pass,40,"54,46,000",54 Lacs,0,
37,Brij Pal Balmiki,13262,Bahujan Mukti Party,0,Graduate,47,"56,10,000",56 Lacs,0,
38,Brijendra Singh,12167,BJP,0,Post Graduate,46,"14,64,08,734",14 Crore,"2,72,25,637",2 Crore
39,C A Shukla,13296,IND,0,Graduate,57,0,0,0,
40,Capt. Ajay Singh,12156,INC,0,Graduate Professional,60,"27,48,17,503",27 Crore,"1,06,12,632",1 Crore
41,Charanjeet Singh Rori,13259,INLD,0,10th Pass,49,"1,06,01,527",1 Crore,"44,46,477",44 Lacs
42,Chowkidar Anjan Deveshwar,13526,IND,0,12th Pass,41,"4,21,28,108",4 Crore,"1,36,59,094",1 Crore
43,Col. Dharam Pal Singh Raghava,13041,Rashtra Nirman Party,0,Graduate,61,"2,02,78,916",2 Crore,"21,00,000",21 Lacs
44,Comrade Balbeer Singh,12196,SUCI(C),0,10th Pass,60,"19,94,243",19 Lacs,0,
45,Dalip Luna,13267,IND,0,Post Graduate,31,"3,67,071",3 Lacs,0,
46,Dara Singh,13245,Bhartiya Janraj Party,0,Graduate,27,"1,02,900",1 Lacs,0,
47,Daya Chand,13292,Bhartiya Shakti Chetna Party,0,12th Pass,68,"7,05,000",7 Lacs,"3,60,000",3 Lacs
48,Deepak,13251,IND,1,Graduate,28,"70,000",70 Thou,0,
49,Deepak,13268,IND,0,Graduate,28,0,0,0,
50,Deepak Gaur,12145,AARAKSHAN VIRODHI PARTY,1,12th Pass,40,"1,47,65,000",1 Crore,"8,50,000",8 Lacs
51,Deepender Singh,12512,INC,0,Post Graduate,41,"44,72,55,719",44 Crore,"2,18,46,800",2 Crore
52,Dharambir,13227,IND,0,12th Pass,39,"9,21,000",9 Lacs,0,
53,Dharambir Singh,12139,BJP,0,Graduate,64,"6,06,42,205",6 Crore,"2,40,000",2 Lacs
