serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
0,A Narayanaswamy,7094,BJP,0,Graduate,62,"9,61,97,642",9 Crore,0,
1,A T Dadakhalandar,10611,IND,0,10th Pass,37,"1,30,139",1 Lacs,"20,403",20 Thou
2,A. Christhuraj,7376,IND,0,10th Pass,41,"6,91,000",6 Lacs,"3,75,000",3 Lacs
3,A. Devadas,7040,SUCI(C),0,8th Pass,51,"19,43,531",19 Lacs,0,
4,A.Raju,7682,BSP,0,Graduate,58,"5,44,19,000",5 Crore,"4,60,000",4 Lacs
5,Abdul Azeez,7370,Karnataka Pragnyavantha Janatha Party,0,8th Pass,46,"6,22,054",6 Lacs,"58,000",58 Thou
6,Abdul Basheer,7357,IND,0,10th Pass,71,"13,50,000",13 Lacs,"1,01,32,000",1 Crore
7,Abdul Hameed,7919,IND,0,5th Pass,42,"6,68,000",6 Lacs,0,
8,Abdul Karim Hashimpeer Desai,7346,IND,0,Post Graduate,61,"1,65,99,316",1 Crore,"1,24,00,000",1 Crore
9,Abdul Nazeer Sab,10612,IND,0,5th Pass,59,0,0,"80,000",80 Thou
10,Abdul Rahman,7072,IND,0,8th Pass,34,"3,34,000",3 Lacs,"18,40,000",18 Lacs
11,Abdulkarim Desai,7673,IND,0,Post Graduate,61,"85,99,316",85 Lacs,"31,00,000",31 Lacs
12,Abdus Sattar Mujahed,10456,Akhil Bharatiya Muslim League (Secular),1,Graduate,53,"25,85,000",25 Lacs,0,
13,Adagal Rajendra,10495,Bahujan Mukti Party,0,12th Pass,43,"18,58,950",18 Lacs,"8,50,000",8 Lacs
14,Ahmed Khan,7361,Bahujan Maha Party,0,10th Pass,33,"7,139",7 Thou,0,
15,Alagudu Lingaraju,7713,IND,0,Graduate Professional,30,"11,46,000",11 Lacs,0,
16,Alanguru Kanakalakshmi,7651,IND,0,10th Pass,30,"39,20,000",39 Lacs,0,
17,Alexander,7917,IND,1,Graduate,61,"3,05,10,500",3 Crore,"8,50,000",8 Lacs
18,Alishan. S,7739,IND,0,Post Graduate,64,"2,27,00,000",2 Crore,0,
19,Ambresh Kencha,7038,Uttama Prajaakeeya Party,0,Graduate,36,0,0,"9,26,000",9 Lacs
20,Ambrose D Mello,5161,IND,0,Post Graduate,51,"70,000",70 Thou,0,
21,Amirtha Jai Kumar Essac Yesaiah,7356,Karnataka Karmikara Paksha,0,Others,43,"2,13,000",2 Lacs,0,
22,Amrith Shenoy P,7071,IND,1,Post Graduate,41,"28,49,00,000",28 Crore,"34,25,000",34 Lacs
23,Anand Asnotikar,10365,JD(S),1,Post Graduate,39,"72,19,16,901",72 Crore,"2,38,00,806",2 Crore
24,Anand Jivan Ram,7312,IND,0,10th Pass,33,"50,000",50 Thou,0,
25,Anand Kumar. M,7736,IND,0,10th Pass,45,"1,41,77,000",1 Crore,"28,50,000",28 Lacs
