serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
0,A M Ariff,8813,CPI(M),2,Graduate Professional,54,"1,52,68,906",1 Crore,"22,20,700",22 Lacs
1,A Pradeep Kumar,9218,CPI(M),1,12th Pass,55,"1,19,15,342",1 Crore,"20,79,872",20 Lacs
2,A.Sampath,9107,CPI(M),0,Doctorate,56,"3,84,48,688",3 Crore,"36,11,333",36 Lacs
3,Abdul Jabbar K K,9165,SDPI,3,10th Pass,45,"34,10,000",34 Lacs,0,
4,Abdul Khader,8836,Samajwadi Forward Bloc,0,8th Pass,59,"34,97,836",34 Lacs,0,
5,Abdul Majeed Faizy,9233,SDPI,2,10th Pass,48,"12,03,908",12 Lacs,0,
6,Abdul Salam,9235,IND,0,8th Pass,60,"22,33,000",22 Lacs,"13,00,000",13 Lacs
7,Adoor Prakash,9108,INC,7,Graduate Professional,63,"14,40,98,612",14 Crore,"2,76,22,685",2 Crore
8,Adv. Basheer Alady,10355,BSP,0,Post Graduate,45,"14,38,476",14 Lacs,0,
9,Adv. K.C. Nazeer,9241,SDPI,1,Graduate Professional,40,0,0,0,
10,Adv. Sreejith P R,9214,IND,1,Graduate Professional,33,120,1 Hund,"4,76,158",4 Lacs
11,Adv.K.V.Sabu,9098,BJP,0,Post Graduate,57,"2,65,50,000",2 Crore,"64,00,000",64 Lacs
12,Adv.Prakash Babu,9228,BJP,22,Post Graduate,39,"35,24,377",35 Lacs,"3,43,064",3 Lacs
13,Ajayakumar,8868,IND,0,10th Pass,40,"1,27,400",1 Lacs,0,
14,Aji Pathanapuram,8860,IND,0,10th Pass,34,"15,30,000",15 Lacs,"1,50,000",1 Lacs
15,Ajmal Ismail,9123,SDPI,3,Graduate Professional,36,"15,08,680",15 Lacs,"2,00,000",2 Lacs
16,Akhilesh,8819,Ambedkarite Party of India,0,12th Pass,38,"1,06,000",1 Lacs,0,
17,Alphons Kannanthanam,8833,BJP,1,Graduate,65,"11,58,36,275",11 Crore,0,
18,Aluva Aneesh,9178,IND,0,8th Pass,38,"51,68,226",51 Lacs,"7,50,000",7 Lacs
19,Anitha,9110,IND,0,Graduate,34,0,0,0,
20,Anto Antony,9088,INC,1,Graduate,62,"60,75,876",60 Lacs,"77,23,227",77 Lacs
21,Anvar P.V. Raseena Manzil,9242,IND,0,10th Pass,43,"10,27,930",10 Lacs,0,
22,Anwar P.V. Alumkuzhi,9247,IND,0,Graduate,30,"1,59,195",1 Lacs,0,
23,Aparna R,9163,SUCI(C),0,Graduate Professional,27,"7,77,958",7 Lacs,0,
24,Aswathi Rajappan,8841,IND,0,Graduate,25,"2,026",2 Thou,0,
25,Attingal Ajith Kumar,9115,IND,0,10th Pass,51,"50,800",50 Thou,0,
26,Babu Mani,9199,SDPI,1,10th Pass,52,"19,24,402",19 Lacs,"5,77,000",5 Lacs
27,Babu T V,9261,Bharath Dharma Jana Sena,4,10th Pass,61,"12,61,055",12 Lacs,"6,85,000",6 Lacs
28,Baby K. A.,8850,IND,0,10th Pass,48,"25,000",25 Thou,0,
29,Balakrishnan,9251,IND,0,10th Pass,36,0,0,"91,978",91 Thou
30,Benny Behanan,9136,INC,4,Graduate,66,"2,04,61,931",2 Crore,"9,15,938",9 Lacs
31,Biju Kakkathode,9206,IND,0,12th Pass,28,"1,74,490",1 Lacs,"1,62,200",1 Lacs
32,Biju Krishnan,8846,Bharath Dharma Jana Sena,0,Graduate,49,"1,63,47,063",1 Crore,"17,89,000",17 Lacs
33,Bimalji K,8861,SUCI(C),0,Post Graduate,41,"52,486",52 Thou,0,
34,Bindu,9239,IND,0,8th Pass,51,"2,61,510",2 Lacs,0,
35,Binu,9084,SUCI(C),0,Others,43,"52,201",52 Thou,0,
36,Binu.D,9279,IND,0,10th Pass,42,"1,00,000",1 Lacs,0,
37,C Chandran,9256,IND,0,12th Pass,60,"84,20,129",84 Lacs,"3,70,116",3 Lacs
38,C K Padmanabhan,9166,BJP,0,10th Pass,70,"32,90,900",32 Lacs,0,
39,C.O.T. Naseer,9179,IND,3,12th Pass,37,0,0,"2,20,554",2 Lacs
40,Chittayam Gopakumar,8863,CPI,0,10th Pass,53,"37,25,488",37 Lacs,"9,53,336",9 Lacs
41,Christopher Shaju,9268,IND,0,12th Pass,43,"18,25,000",18 Lacs,"3,30,000",3 Lacs
42,Dean Kuriakose,8847,INC,204,Post Graduate,37,"1,33,95,011",1 Crore,"1,00,00,000",1 Crore
43,Devadathan,9112,IND,0,10th Pass,70,"75,000",75 Thou,0,
44,Devadathan,9276,IND,0,10th Pass,70,"75,000",75 Thou,0,
45,Divakaran.C,9267,CPI,1,Graduate,76,"90,06,945",90 Lacs,"13,18,000",13 Lacs
46,Dr. K Padmarajan,10362,IND,0,Post Graduate,60,"15,11,000",15 Lacs,0,
47,Dr.Jayan.C.Kuthanur,9260,BSP,0,Doctorate,40,"9,01,000",9 Lacs,"72,369",72 Thou
48,Dr.Sreekumar.J,9105,IND,0,Graduate Professional,48,"5,63,53,474",5 Crore,"3,33,41,227",3 Crore
49,E T Mohammed Basheer,9238,IUML,0,10th Pass,72,0,0,0,
