serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
0,Aakash Birla,13118,Madhya Pradesh Jan Vikas Party,0,12th Pass,25,"37,390",37 Thou,0,
1,Abdul Tahir Ansari,13328,Swarnim Bharat Inquilab,0,Graduate Professional,45,"51,37,000",51 Lacs,"18,68,000",18 Lacs
2,Abhishek Bilhore,10329,Bhartiya Shakti Chetna Party,0,Graduate,25,"20,06,750",20 Lacs,0,
3,Acche Lal Kushawaha,11607,BSP,2,8th Pass,63,"2,48,46,270",2 Crore,"7,46,000",7 Lacs
4,Advocate Bapu Singh Gujar,13931,Hindusthan Nirman Dal,0,Post Graduate,40,"62,75,178",62 Lacs,"65,000",65 Thou
5,Advocate Rakesh Kumar Shukla,12011,AIFB,0,Post Graduate,52,"1,41,80,097",1 Crore,0,
6,Advocate Satyaprakash Shulke (Lodhi),10635,Madhya Pradesh Jan Vikas Party,0,Graduate Professional,40,"5,50,000",5 Lacs,0,
7,Advocate-Devsingh Kumre,10666,IND,0,Post Graduate,36,"24,43,500",24 Lacs,"10,00,000",10 Lacs
8,Ahirwar Shripat Shikshak,11619,Poorvanchal Rashtriya Congress,0,12th Pass,47,"9,17,000",9 Lacs,0,
9,Ajay Arjun Singh,10270,INC,2,Post Graduate,63,0,0,"40,00,000",40 Lacs
10,Ajay Singh Kushwah,12235,IND,0,10th Pass,44,"20,88,593",20 Lacs,0,
11,Ajeet Dhurwey,10667,IND,0,Post Graduate,27,"6,60,050",6 Lacs,0,
12,Ajmera S Praveen Kumar,14124,IND,0,Post Graduate,56,"11,22,537",11 Lacs,0,
13,Akhilesh Saket,12030,IND,0,Graduate Professional,38,"1,03,00,267",1 Crore,"1,94,963",1 Lacs
14,Ali . M. R. Khan,10333,CPI,1,12th Pass,62,"18,06,450",18 Lacs,0,
15,Alok Kumar,13338,IND,0,Post Graduate,50,"2,90,90,700",2 Crore,"27,00,000",27 Lacs
16,Ambaram Parmar Chandravanshi,13939,IND,0,8th Pass,72,"40,16,303",40 Lacs,0,
17,Amit Khare,12659,Ambedkarite Party of India,0,Graduate Professional,27,"1,30,500",1 Lacs,0,
18,Amit Kumar Balke,13114,BSP,0,12th Pass,33,"2,86,000",2 Lacs,"22,000",22 Thou
19,Amjad Khan,10624,IND,0,8th Pass,38,0,0,"5,00,000",5 Lacs
20,Anant Lal Basor,11992,IND,0,10th Pass,71,"41,843",41 Thou,0,
21,Anil Firojiya,13092,BJP,0,12th Pass,47,"2,64,17,937",2 Crore,"32,03,766",32 Lacs
22,Anil Malviya Patrakar,12661,IND,0,Post Graduate,33,"19,70,453",19 Lacs,"4,32,101",4 Lacs
23,Anup Kumar Singh,10594,Samagra Utthan Party,0,Post Graduate,41,"28,35,000",28 Lacs,"20,42,700",20 Lacs
24,Arun Kumar,11606,Shri Janta Party,2,12th Pass,45,"55,000",55 Thou,0,
25,Arun Kumar Satnami,11605,Bahujan Mukti Party,0,Post Graduate,35,"38,13,000",38 Lacs,0,
26,Arun Subhash Chandra Yadav,13116,INC,0,Graduate,45,"38,95,36,712",38 Crore,"19,68,53,975",19 Crore
27,Arya Ravi Parihar,11588,IND,0,8th Pass,42,"4,23,000",4 Lacs,"2,30,000",2 Lacs
28,Ashish Kumar Singh Chauhan,10277,SHS,0,12th Pass,35,"65,000",65 Thou,0,
29,Ashok Bhalavi,11578,BSP,0,Literate,44,0,0,0,
30,Ashok Khan,12672,IND,2,Literate,44,"5,47,500",5 Lacs,"2,22,000",2 Lacs
31,Ashok Rajoriya,12644,Vishva SHakti Party,0,Graduate,46,"54,41,500",54 Lacs,0,
32,Ashok Singh,12595,IND,0,Not Given,27,"3,55,000",3 Lacs,0,
33,Ashok Singh,12243,INC,0,Graduate,56,"37,18,15,574",37 Crore,"6,45,26,891",6 Crore
34,Ashok Singh Lodhi,10625,IND,0,12th Pass,55,"25,40,000",25 Lacs,"3,20,772",3 Lacs
35,Ashok Vishwakarma,12043,IND,0,8th Pass,47,"7,22,500",7 Lacs,0,
36,Ashwani Kumar Dubey,12012,Sarvodaya Bharat Party,0,Doctorate,48,"24,20,200",24 Lacs,0,
37,Baba Abdul Hameed,14075,IND,0,Literate,75,"1,57,73,000",1 Crore,0,
38,Baboo Rajendra Dhoke,10636,Peoples Party of India (Democratic),0,Post Graduate,62,"1,18,47,800",1 Crore,0,
39,Babu Lal,11618,IND,0,10th Pass,36,0,0,0,
40,Babu Ram Jamor,12524,BSP,0,10th Pass,67,"1,25,71,690",1 Crore,"5,40,000",5 Lacs
41,Babulal Kol,12031,Adhikar Vikas Party,0,8th Pass,42,"1,200",1 Thou,0,
42,Babulal Malviya,13090,INC,1,5th Pass,56,"21,81,243",21 Lacs,"17,85,483",17 Lacs
43,Badrilal,13088,BSP,0,Post Graduate,43,"71,65,222",71 Lacs,"4,02,000",4 Lacs
44,Badriprasad,11602,Akhil Bhartiya Apna Dal,0,12th Pass,63,"11,80,000",11 Lacs,0,
45,Bajuddeen Baj,12646,IND,1,Illiterate,80,"20,58,044",20 Lacs,0,
46,Bal Ram Singh Tomar,13333,Bhartiya Shakti Chetna Party,0,12th Pass,30,"1,41,845",1 Lacs,"2,49,550",2 Lacs
47,Banesingh Parmar,13941,IND,0,5th Pass,39,"1,09,326",1 Lacs,"94,341",94 Thou
48,Bhagcharan Warkade,11577,IND,0,12th Pass,39,"3,68,300",3 Lacs,"2,70,000",2 Lacs
49,Bhagwansingh Pyarsingh,14076,IND,0,Literate,42,0,0,"4,000",4 Thou
50,Bhan Singh,12658,IND,0,Not Given,40,"15,47,800",15 Lacs,0,
51,Bhante Sangh Ratan,12645,Bharat Prabhat Party,0,Literate,48,"25,000",25 Thou,0,
52,Bharat Singh Poosam,10327,IND,0,Post Graduate,40,"23,13,900",23 Lacs,"2,94,000",2 Lacs
53,Bhaurao Vithoba Fulzele,13334,Bharat Prabhat Party,0,Graduate Professional,59,"52,65,000",52 Lacs,"1,00,000",1 Lacs
54,Bhavana Kishore Sangeliya,14129,Janata Congress,0,10th Pass,32,"1,45,700",1 Lacs,0,
55,Bhavanishankar,11219,Pragatishil Samajwadi Party (Lohia),1,5th Pass,33,"22,42,000",22 Lacs,0,
56,Bhoopat Kumar,12014,IND,0,Graduate,25,"2,66,109",2 Lacs,0,
