serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
0,A. Hafeez A. Aziz,6542,BSP,0,12th Pass,39,"11,66,769",11 Lacs,"7,00,000",7 Lacs
1,Aadhalrao Shivaji Dattatrey,10016,SHS,10,Others,64,"29,01,65,511",29 Crore,"4,98,98,166",4 Crore
2,Aappa Aaba Lokare,10797,BSP,0,8th Pass,48,"97,90,000",97 Lacs,0,
3,Abbas Chhatriwala,9987,Jan Adhikar Party,0,10th Pass,43,"50,40,147",50 Lacs,0,
4,Abdul Kadir Mastan Sayyed,6560,IND,0,8th Pass,45,"7,00,000",7 Lacs,0,
5,Abdul Rais Ahmed Abdul Jabbar,6580,Ambedkar National Congress,1,5th Pass,51,0,0,0,
6,Abdul Rehman Anjaria,9969,Vanchit Bahujan Aaghadi,0,Doctorate,46,"10,00,402",10 Lacs,"17,09,730",17 Lacs
7,Abdul Samad,7644,SP,0,12th Pass,62,"63,51,722",63 Lacs,"61,10,332",61 Lacs
8,Abhijit Vamanrao Awade-Bichukle,10893,IND,2,Graduate,43,"4,41,102",4 Lacs,0,
9,Abhijit Wamanrao -Bichukale,9458,IND,2,Graduate,43,0,0,0,
10,Abusalim Arunhuq Shank,11018,Rashtriya Ulama Council,0,10th Pass,48,"2,64,600",2 Lacs,0,
11,Ad. Karande Manisha Manohar,6606,IND,0,Graduate Professional,37,"20,000",20 Thou,0,
12,Ad. Vikram Uttam Kasabe,5495,IND,0,Post Graduate,43,"99,924",99 Thou,0,
13,Adakmol Rohidas Ramesh,10682,Ambedkarite Party of India,0,12th Pass,41,"2,26,000",2 Lacs,0,
14,Adhik Sampat Channe,10894,IND,2,Graduate,39,"6,65,000",6 Lacs,0,
15,Adv. Amolik Govind Baburao,11130,IND,0,Graduate Professional,67,"24,19,200",24 Lacs,"4,00,000",4 Lacs
16,Adv. Bhaskar Marotrao Neware,4711,IND,0,Post Graduate,43,"1,35,345",1 Lacs,0,
17,Adv. K. C. Padavi,9799,INC,0,Post Graduate,61,"4,52,36,068",4 Crore,"32,37,933",32 Lacs
18,Adv. Kokate Manikrao Shivajirao,11108,IND,1,Graduate Professional,61,"21,44,14,506",21 Crore,"4,67,37,153",4 Crore
19,Adv. Kumar Devba Kalel Patil,10765,IND,0,Graduate Professional,38,0,0,"4,32,900",4 Lacs
20,Adv. Mahendra Tulshiram Bhingardive,9975,Anti Corruption Dynamic Party,0,Graduate Professional,42,"1,25,10,000",1 Crore,"8,50,000",8 Lacs
21,Adv. Mahesh Gajendragadkar,10758,Swarna Bharat Party,0,Post Graduate,57,"1,64,57,070",1 Crore,"94,000",94 Thou
22,Adv. Ramesh Devaram Dharmavat,10759,People’s Union Party,0,Graduate Professional,37,"23,78,25,757",23 Crore,0,
23,Adv. Sachin Bhaskar Jore,10812,IND,3,Others,36,"56,26,000",56 Lacs,"15,65,000",15 Lacs
24,Adv. Sahil Shah,9986,Bhartiya Manavadhikaar Federal Party,0,Graduate Professional,27,"7,62,030",7 Lacs,0,
25,Adv. Sanjay Sharad Gangnaik,8763,Samajwadi Forward Bloc,0,Graduate Professional,51,"1,18,29,351",1 Crore,0,
26,Adv. Sharad Bahinaji Kamble,6520,IND,0,Post Graduate,39,"1,80,000",1 Lacs,0,
27,Adv. Ulhas Shalikaram Dupare,4595,IND,0,Graduate Professional,53,"1,46,000",1 Lacs,0,
28,Adv. Vaibhav Shantaram Ahire,10116,BSP,0,Graduate Professional,39,"9,91,506",9 Lacs,0,
29,Adv. Vijaya Dilip Bagde,4890,Ambedkarite Party of India,0,Graduate Professional,43,0,0,0,
30,Adv. Vijayanand Shankarrao Shinde,10810,IND,0,Graduate Professional,62,"13,50,000",13 Lacs,0,
31,Adv. Yogesh Dattu Gullapelli,10842,IND,0,Post Graduate,29,"4,08,188",4 Lacs,0,
32,Adv.Girish Madan Patil,8695,IND,0,Graduate,35,"5,50,000",5 Lacs,0,
33,Aftab Mashwood Khan,11019,IND,0,8th Pass,43,"80,62,800",80 Lacs,0,
34,Ahemad Rahim Shaikh,10840,IND,0,12th Pass,49,0,0,0,
35,Aher Sharad Keru,11106,IND,0,Graduate,30,"3,78,603",3 Lacs,0,
36,Ahir Hansraj Gangaramji,5421,BJP,0,10th Pass,64,"1,83,00,860",1 Crore,"45,386",45 Thou
