serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
0,Angam Karung Kom,5679,NCP,0,Graduate,63,"4,70,000",4 Lacs,"14,60,000",14 Lacs
1,Ashang Kasar,5681,North East India Development Party,0,Post Graduate,43,"1,35,63,720",1 Crore,0,
2,Dr Rajkumar Ranjan Singh,5671,BJP,0,Doctorate,67,"1,96,16,174",1 Crore,0,
3,Dr. Gurumayum Tonsana Sharma,5675,Manipur Democratic Peoples Front,0,Doctorate,69,"1,24,52,000",1 Crore,0,
4,Hangkhanpau Taithul,5678,JD(U),0,Post Graduate,55,"36,01,000",36 Lacs,"15,16,567",15 Lacs
5,Houlim Shokhopao Mate,5677,BJP,0,12th Pass,36,"1,68,91,558",1 Crore,0,
6,K. James,5680,INC,2,Graduate,56,"12,91,98,371",12 Crore,"2,18,39,605",2 Crore
7,Leikhan Kaipu,5676,IND,0,8th Pass,54,"56,020",56 Thou,0,
8,Lorho S. Pfoze,4709,NPF,0,Graduate Professional,59,"1,37,09,352",1 Crore,0,
9,Md. Iliyash Khan,6069,IND,0,12th Pass,34,0,0,0,
10,Moirangthem Nara Singh,5673,CPI,0,Graduate Professional,69,"35,58,822",35 Lacs,"55,89,692",55 Lacs
11,Moirangthem Totomshana Nongshaba,6068,IND,0,12th Pass,41,"1,500",1 Thou,0,
12,Oinam Jugindro Singh,6067,Manipur Peoples Party,1,12th Pass,68,"27,31,288",27 Lacs,0,
13,Oinam Nabakishore Singh,5670,INC,1,Post Graduate,59,"1,78,67,003",1 Crore,"14,01,257",14 Lacs
14,R.K. Anand,6065,North East India Development Party,0,Graduate Professional,59,"52,66,941",52 Lacs,"29,63,600",29 Lacs
15,Rajkumar Somendro Singh,5672,IND,0,10th Pass,40,"30,02,505",30 Lacs,"6,30,405",6 Lacs
16,Senjam Nandeshwore Singh,5674,Rashtriya Janhit Sangharsh Party,0,Graduate,60,"22,58,269",22 Lacs,0,
17,Thangminlien Kipgen,6070,NPP,0,12th Pass,64,"66,63,739",66 Lacs,"5,75,332",5 Lacs
18,Wahengbam Pobitra Singh,6066,IND,1,12th Pass,42,"1,30,022",1 Lacs,"52,379",52 Thou
