serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
0,Achyutananda Samanta,5403,BJD,0,Doctorate,55,"12,44,722",12 Lacs,0,
1,Akshaya Kumar Kar,8381,Krupaa Party,0,Graduate,59,"3,50,77,797",3 Crore,0,
2,Amir Nayak,5880,BSP,0,Post Graduate,36,0,0,0,
3,Amiya Kanta Mallick,10125,BJP,1,10th Pass,61,"2,45,85,630",2 Crore,"12,46,347",12 Lacs
4,Ananta Nayak,8389,BJP,1,12th Pass,49,"55,12,006",55 Lacs,"5,33,728",5 Lacs
5,Anil Kumar Behera,9941,Freethought Party of India,0,12th Pass,29,"8,002",8 Thou,0,
6,Anita Subhadarshini,5404,BJP,0,Post Graduate,47,"1,61,75,950",1 Crore,"1,79,25,000",1 Crore
7,Anjani Soren,10141,JMM,0,12th Pass,47,"2,82,47,881",2 Crore,"71,96,331",71 Lacs
8,Anubhav Mohanty,10133,BJD,0,Graduate,37,"2,23,09,172",2 Crore,"41,33,506",41 Lacs
9,Aparajita Sarangi,9907,BJP,0,Graduate,49,0,0,"43,29,959",43 Lacs
10,Arup Mohan Patnaik,8378,BJD,0,Graduate Professional,63,"9,27,00,106",9 Crore,"2,70,000",2 Lacs
11,Ashok Pradhan,7875,IND,0,5th Pass,54,"21,51,160",21 Lacs,"40,000",40 Thou
12,Ashutosh Kumar Hanuman,8474,Bharat Prabhat Party,0,Post Graduate,29,"50,690",50 Thou,0,
13,Atma Ram Supkar,8479,Pragatisheel Samaj Party,0,10th Pass,60,"3,93,40,660",3 Crore,0,
14,Avimanyu Sethi,9928,BJP,0,Post Graduate,49,"4,72,23,493",4 Crore,"1,21,50,231",1 Crore
15,Baijayant Panda,10130,BJP,5,Graduate Professional,55,"57,44,15,842",57 Crore,"6,00,000",6 Lacs
16,Balabhadra Majhi,5545,BJP,0,Graduate,58,"8,74,71,475",8 Crore,"26,21,246",26 Lacs
