serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
0,Advocate Prabhjot Singh,13159,IND,0,Post Graduate,29,"19,378",19 Thou,"21,402",21 Thou
1,Ajaib Singh,13744,Rashtriya Janshakti Party (Secular),0,10th Pass,45,"12,35,000",12 Lacs,0,
2,Ajay Kumar,13585,Indian Democratic Republican Front,0,12th Pass,40,"3,66,800",3 Lacs,0,
3,Ajay Singh Dharmendra Deol (Sunny Deol),13532,BJP,0,Others,59,"87,19,25,679",87 Crore,"53,46,44,785",53 Crore
4,Amandeep Kaur,13577,Peoples Party of India (Democratic),0,Post Graduate,29,"68,000",68 Thou,0,
5,Amandeep Singh Ghotra,13824,IND,0,Graduate,39,"27,06,333",27 Lacs,0,
6,Amar Singh,13155,INC,0,Post Graduate,65,"3,28,08,836",3 Crore,0,
7,Amarpreet Singh,13750,IND,0,Doctorate,38,"25,01,972",25 Lacs,"8,50,661",8 Lacs
8,Amrik Singh,13830,IND,1,8th Pass,36,"1,21,74,600",1 Crore,"13,66,500",13 Lacs
9,Amrinder Singh Raja Warring,13172,INC,0,10th Pass,41,0,0,"1,04,22,457",1 Crore
10,Amrish Kumar,13557,IND,0,Graduate,54,"4,98,000",4 Lacs,0,
11,Ashish Garg,13758,IND,0,12th Pass,38,"21,10,000",21 Lacs,"16,30,000",16 Lacs
12,Ashok Kumar,14080,Rashtriya Lokswaraj Party,0,10th Pass,41,"2,66,500",2 Lacs,0,
13,Ashwani Kumar,13121,CPI(ML)(L),0,10th Pass,35,"3,15,000",3 Lacs,0,
14,Ashwani Kumar,13752,SHS,0,Graduate,39,"32,44,893",32 Lacs,0,
15,Ashwani Kumar,13769,Hindustan Shakti Sena,0,Others,46,"61,95,000",61 Lacs,"21,00,000",21 Lacs
16,Avtar Singh,14079,IND,0,8th Pass,59,"58,67,000",58 Lacs,"2,70,000",2 Lacs
17,Baba Amarjit Singh Khalsa,13730,Bhartiya Lok Seva Dal,0,10th Pass,41,"6,26,900",6 Lacs,0,
18,Baba Sukhwinder Singh Gill,13725,NCP,0,12th Pass,43,"28,93,000",28 Lacs,0,
19,Badal Singh,13574,IND,0,8th Pass,35,0,0,0,
20,Bagga Singh,13804,IND,0,Graduate,28,"4,55,000",4 Lacs,0,
