serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
0,Abdul Asiph,10777,IND,0,8th Pass,27,"1,63,000",1 Lacs,0,
1,Abdul Qayyum Siddiqui,10954,IND,0,Graduate,47,"14,81,364",14 Lacs,"4,73,069",4 Lacs
2,Abhijeet Kumar,11276,INC,0,Graduate Professional,59,"13,30,45,865",13 Crore,"2,83,46,352",2 Crore
3,Advocate Amit Kumar Gupta,11686,IND,0,Graduate Professional,35,"1,10,52,767",1 Crore,"48,74,000",48 Lacs
4,Ajay Pal,11751,Bahujan Mukti Party,0,Post Graduate,34,"3,75,915",3 Lacs,0,
5,Ajaypal,11769,IND,0,10th Pass,58,"40,15,500",40 Lacs,"1,50,000",1 Lacs
6,Amar Singh Kalundha,10959,Bhartiya Tribal Party,0,Graduate,59,"1,19,76,000",1 Crore,"73,53,670",73 Lacs
7,Amit Sharma Jangir,11171,Ambedkarite Party of India,0,12th Pass,25,"3,00,000",3 Lacs,0,
8,Amraram,11571,CPI(M),0,Post Graduate,63,"44,44,641",44 Lacs,"7,80,500",7 Lacs
9,Anand Kumar Sain,11172,IND,0,Post Graduate,37,0,0,0,
10,Anil Joya Meghwal,10960,IND,0,8th Pass,45,"16,37,500",16 Lacs,"3,00,000",3 Lacs
11,Anju Devi Dhanka,11712,IND,0,Graduate,42,"71,55,513",71 Lacs,"24,50,000",24 Lacs
12,Ankur Sharma,11241,IND,0,Post Graduate,34,"2,02,94,000",2 Crore,0,
13,Anoop Kumar,11687,Pragatishil Samajwadi Party (Lohia),0,10th Pass,29,"5,56,107",5 Lacs,"1,26,800",1 Lacs
14,Arjun Ram Meghwal,11692,BJP,0,Post Graduate,65,"2,35,24,459",2 Crore,"10,60,314",10 Lacs
15,Arjunlal Meena,9583,BJP,0,Post Graduate,54,"4,81,96,946",4 Crore,"1,56,02,872",1 Crore
16,Arjunram,11696,IND,0,10th Pass,33,"11,000",11 Thou,0,
17,Aslam,11281,IND,0,Literate,47,"93,973",93 Thou,"1,24,600",1 Lacs
18,Babita Wadhwani,11291,IND,0,Post Graduate,45,"18,31,323",18 Lacs,"2,000",2 Thou
19,Babulal,11695,IND,0,10th Pass,56,0,0,"50,000",50 Thou
20,Badree Lal,9586,BSP,0,Graduate Professional,58,"3,81,97,000",3 Crore,"13,59,000",13 Lacs
21,Badri Ram,9611,INC,0,Literate,69,"23,25,56,672",23 Crore,"4,90,47,253",4 Crore
22,Bajrang Lal Meena,9625,Rashtriya Kranti Party,0,10th Pass,48,"41,15,000",41 Lacs,0,
23,Bal Dev Prasad Saini,11562,IND,0,8th Pass,33,"8,20,000",8 Lacs,"22,000",22 Thou
24,Balwan Poonia,11703,CPI(M),12,Graduate Professional,41,"36,68,789",36 Lacs,"14,15,622",14 Lacs
25,Bansilal Kataria,11574,IND,0,10th Pass,59,"5,51,000",5 Lacs,0,
26,Banwari Lal,11742,IND,0,Graduate,34,"31,07,300",31 Lacs,"7,68,000",7 Lacs
27,Bapulal,11149,BSP,0,8th Pass,31,"3,11,000",3 Lacs,0,
28,Bhagirath Chaudhary,9617,BJP,0,12th Pass,64,"8,51,01,774",8 Crore,"83,19,942",83 Lacs
29,Bhagirath Singh Kharrte Bhadhadar,11772,IND,0,Graduate,51,0,0,0,
30,Bhagwan Sahay,11575,IND,0,Literate,55,"2,00,000",2 Lacs,0,
31,Bhaira Ram,11277,BSP,0,5th Pass,47,"11,54,500",11 Lacs,0,
32,Bhajan Singh Gharoo,11282,IND,0,Post Graduate,62,"98,75,228",98 Lacs,"4,00,000",4 Lacs
33,Bhanwar Lal Joshi,11727,Rashtriya Jansambhavna Party,0,Graduate,45,"9,50,000",9 Lacs,"1,50,000",1 Lacs
34,Bhanwar Lal Kumawat,10824,IND,0,Literate,51,"46,81,563",46 Lacs,0,
35,Bhanwer Lal Mali,9566,IND,0,Literate,55,"12,28,828",12 Lacs,0,
36,Bhanwerlal,10710,Bahujan Mukti Party,0,Others,62,"1,00,72,103",1 Crore,0,
37,Bharat Ram Meghwal,11231,INC,0,Graduate,63,"87,01,890",87 Lacs,"44,70,443",44 Lacs
38,Bharti Meena,11714,IND,1,12th Pass,30,"33,71,000",33 Lacs,"6,50,000",6 Lacs
39,Bhava Ram,9590,IND,0,Graduate Professional,33,0,0,0,
40,Bheraram Barar Meghwal,10711,IND,0,10th Pass,48,"65,58,000",65 Lacs,0,
41,Bheraram Jakhar,11153,IND,1,Graduate,55,"12,82,500",12 Lacs,0,
42,Bhim Singh,10780,SHS,0,12th Pass,52,"54,84,000",54 Lacs,0,
43,Bhim Singh,11750,IND,0,Literate,67,"1,30,90,000",1 Crore,0,
44,Bimla Devi Meena,11541,IND,0,Graduate,61,"4,70,54,005",4 Crore,"5,59,174",5 Lacs
45,Birdhi Lal Chhanwal,10705,Bhartiya Tribal Party,0,Post Graduate,65,"1,06,82,700",1 Crore,0,
46,Bishanaram,11706,IND,0,Graduate,41,"1,19,310",1 Lacs,0,
47,Chand Mohammad,10961,IND,0,5th Pass,52,"85,01,618",85 Lacs,"11,65,171",11 Lacs
48,Chandra Prakash,9569,BJP,0,Graduate,43,"1,97,25,115",1 Crore,"1,00,000",1 Lacs
49,Chandra Prakash,10781,Rashtriya Krantikari Samajwadi Party,0,8th Pass,50,0,0,0,
50,Chandra Prakash Meena,11716,Nationalist Peoples Front,0,Graduate,26,"6,00,000",6 Lacs,0,
51,Chandra Prakash Tanwar,10825,Ambedkarite Party of India,0,5th Pass,44,"3,00,000",3 Lacs,0,
52,Chenaram,10826,BSP,0,Graduate,45,"73,74,000",73 Lacs,"8,851",8 Thou
53,Col. Rajyavardhan Rathore,11288,BJP,0,Graduate,49,"12,78,08,070",12 Crore,0,
54,Dararam Nayak,11710,IND,0,Graduate,40,"5,17,000",5 Lacs,0,
55,Devaji Patel,9596,BJP,0,10th Pass,42,"8,83,32,292",8 Crore,"6,09,36,530",6 Crore
56,Devkinandan (Kaka),9564,INC,1,Post Graduate,76,"25,15,86,733",25 Crore,"1,86,11,248",1 Crore
57,Dharmendra,11239,IND,0,8th Pass,27,"4,75,000",4 Lacs,0,
58,Dharmi Chand,11567,IND,0,12th Pass,44,"4,90,119",4 Lacs,0,
59,Dinesh Singh,9593,IND,0,Post Graduate,27,0,0,0,
60,Diya Kumari,9565,BJP,0,Others,48,"16,59,84,623",16 Crore,0,
61,Dr. Balkrishan Panwar,11283,IND,0,Graduate Professional,60,"73,58,268",73 Lacs,0,
62,Dr. Jyoti Mirdha,11566,INC,0,Graduate Professional,47,"65,06,50,190",65 Crore,"9,70,90,675",9 Crore
63,Dr. Tejpal,11563,Right to Recall Party,0,Graduate Professional,31,"6,33,189",6 Lacs,"5,92,936",5 Lacs
64,Durga Lal Regar,9618,BSP,0,Post Graduate,60,"4,17,40,458",4 Crore,"8,90,000",8 Lacs
65,Dushyant,9585,BJP,0,Post Graduate,48,"37,04,32,373",37 Crore,"8,58,24,156",8 Crore
66,Dwarka Prasad,11715,BSP,0,Post Graduate,36,"1,000",1 Thou,0,
67,Gajendra Singh Shekhawat,9607,BJP,1,Post Graduate,51,"13,80,29,511",13 Crore,"5,85,73,744",5 Crore
68,Ganesh Meena,10818,Indian Peoples Green Party,0,10th Pass,27,"2,45,500",2 Lacs,0,
69,Ghanshyam Meghwal,11278,Ambedkarite Party of India,0,8th Pass,39,0,0,0,
70,Ghanshyam Singh Tawar,9579,CPI,0,Graduate,51,"3,30,700",3 Lacs,0,
71,Ghanshyam Singh Yadav,11533,IND,0,Graduate,70,"1,95,92,100",1 Crore,0,
72,Gomati Dharampal Kataria,11280,Bharat Rakshak Party (Democratic),0,Literate,52,"1,82,12,900",1 Crore,"13,50,000",13 Lacs
73,Gopal Dhakad,9572,Right to Recall Party,0,12th Pass,38,"53,14,571",53 Lacs,"4,65,369",4 Lacs
74,Gopal Singh Shekhawat,9574,INC,0,Graduate Professional,68,"45,94,912",45 Lacs,0,
75,Gulab Sehlot,9573,IND,0,12th Pass,68,"18,96,720",18 Lacs,0,
76,Gulab Singh,11684,Poorvanchal Rashtriya Congress,0,Graduate,50,"9,21,40,000",9 Crore,0,
77,Guru Gokulchand Rashtarwadi,11233,IND,0,12th Pass,66,0,0,0,
78,Haneef,11155,IND,0,Literate,48,"1,01,000",1 Lacs,0,
79,Hanuman Beniwal,11760,Rashtriya Loktantrik Party,0,Graduate Professional,47,0,0,0,
80,Hanuman Ram,11764,Rashtriya Power Party,0,8th Pass,27,"1,45,000",1 Lacs,0,
81,Hari Singh,11709,BSP,0,12th Pass,57,"1,81,03,000",1 Crore,"7,95,000",7 Lacs
82,Haripal Bairwa,11732,IND,0,8th Pass,50,"70,70,000",70 Lacs,0,
83,Harish Kumar,10783,BSP,0,Graduate,66,"1,20,80,000",1 Crore,"6,00,000",6 Lacs
84,Harish Kumar Dhakar,10955,IND,1,Graduate,26,"62,52,517",62 Lacs,"4,23,263",4 Lacs
85,Harji Lal Meena,10706,Ambedkarite Party of India,0,Graduate,39,"2,65,000",2 Lacs,"5,000",5 Thou
86,Hemant Kumar Singhvi,9609,IND,0,Post Graduate,44,"1,61,22,848",1 Crore,"2,95,236",2 Lacs
87,Hergovind,10784,IND,0,Post Graduate,31,"7,19,324",7 Lacs,0,
88,Imran Khan,11530,BSP,0,10th Pass,31,"1,63,28,526",1 Crore,"58,44,684",58 Lacs
89,Jagdish Chandra,10700,IND,0,Literate,52,0,0,"4,90,000",4 Lacs
90,Jagdish Chandra Sharma,9575,BSP,0,Post Graduate,67,"1,85,70,000",1 Crore,0,
91,Jai Prakash Regar,11156,Ambedkarite Party of India,0,Graduate Professional,39,"11,89,797",11 Lacs,0,
92,Jaskaur Meena,11711,BJP,0,Post Graduate,71,"14,37,42,564",14 Crore,"58,25,431",58 Lacs
93,Jeet Ram Bairwa,11756,Ambedkarite Party of India,0,Post Graduate,35,"2,70,000",2 Lacs,0,
94,Jitendra Kumar Khatik,10827,IND,0,Post Graduate,43,"35,48,316",35 Lacs,"1,21,498",1 Lacs
95,Jitendra Singh,11683,INC,2,Graduate,47,"13,65,42,038",13 Crore,0,
96,Jyoti Khandelwal,11292,INC,0,Doctorate,44,"79,59,622",79 Lacs,"21,50,000",21 Lacs
97,Kailash Chand Jagarwal,11731,Ambedkarite Party of India,0,Graduate,38,"30,00,000",30 Lacs,0,
98,Kailash Choudhary,9604,BJP,2,Graduate,45,"24,02,250",24 Lacs,0,
99,Kailash Karwasara,11749,IND,0,10th Pass,29,0,0,"94,720",94 Thou
100,Kaluram,9591,Rashtriya Rashtrawadi Party,0,8th Pass,30,"3,05,000",3 Lacs,0,
101,Kamal Bhargav,11723,IND,0,5th Pass,33,"15,63,604",15 Lacs,"2,50,200",2 Lacs
102,Kanakmal Katara,9577,BJP,0,Graduate Professional,62,"5,87,11,904",5 Crore,"17,46,729",17 Lacs
103,Kanhaiyalal Vaishnav,10701,SHS,2,8th Pass,39,"6,44,000",6 Lacs,0,
104,Kantilal Roat,9578,Bhartiya Tribal Party,0,Post Graduate,43,"12,29,683",12 Lacs,0,
105,Kapoora Ram Meena,9594,IND,0,Post Graduate,60,"4,68,49,400",4 Crore,"38,00,000",38 Lacs
106,Keshri Lal,10785,IND,0,5th Pass,73,"42,000",42 Thou,0,
107,Kesu Lal Meena,9580,BSP,0,10th Pass,53,"11,12,508",11 Lacs,"85,000",85 Thou
108,Kheta Ram,10714,IND,0,12th Pass,47,"6,66,961",6 Lacs,0,
109,Kika Mina,10707,CPI(ML) Red Star,0,8th Pass,78,0,0,0,
110,Krishan Kumar,11753,Rashtriya Mangalam Party,0,5th Pass,44,"25,34,657",25 Lacs,"4,80,000",4 Lacs
111,Krishna Poonia,11287,INC,0,Graduate,41,"3,59,99,524",3 Crore,"43,27,330",43 Lacs
112,Kuldeep Singh,11730,SUCI(C),0,Post Graduate,33,"21,43,545",21 Lacs,0,
113,Kumbharam Meena,11708,IND,0,8th Pass,43,"5,46,100",5 Lacs,"1,00,000",1 Lacs
114,Lakharam Choudhary,10716,IND,0,8th Pass,38,"3,25,000",3 Lacs,0,
115,Laxman Kumar,9615,Proutist Sarva Samaj,0,8th Pass,26,"1,63,050",1 Lacs,0,
116,Laxmi Kant (Bairwa),10820,BSP,0,Graduate,30,"1,63,853",1 Lacs,0,
