serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
0,A Natarajan,8470,IND,0,5th Pass,67,"7,000",7 Thou,0,
1,A. Jayamani,8286,IND,0,Graduate Professional,35,"9,10,000",9 Lacs,0,
2,A. Manikandan,8275,Purvanchal Janta Party (Secular),0,8th Pass,43,"4,91,750",4 Lacs,"9,20,000",9 Lacs
3,A. Marimuthu,8284,IND,0,Graduate Professional,34,"3,68,000",3 Lacs,0,
4,A. Raja,5292,DMK,6,Graduate Professional,55,"4,95,91,024",4 Crore,"14,24,914",14 Lacs
5,A.Antony Sesu Raja,8101,IND,0,10th Pass,38,"17,92,000",17 Lacs,"8,00,000",8 Lacs
6,A.C. Shanmugam,14217,AIADMK,0,Graduate Professional,67,"1,27,58,61,609",127 Crore,"39,62,24,694",39 Crore
7,A.G. Damodharan,6413,IND,0,Graduate Professional,36,"1,77,000",1 Lacs,0,
8,A.G. Mourya,6392,Makkal Needhi Maiam,0,Post Graduate,62,"4,15,90,000",4 Crore,"1,24,97,000",1 Crore
9,A.J.Sherine,5210,Naam Tamilar Katchi,0,Post Graduate,26,0,0,0,
10,A.K. Moorthy,5233,Pattali Makkal Katchi,6,Post Graduate,55,"4,60,23,417",4 Crore,"77,10,578",77 Lacs
11,A.Manikandan,6355,IND,0,12th Pass,32,"3,32,400",3 Lacs,"53,000",53 Thou
12,A.Naresh,8640,Tamil Nadu Ilangyar Katchi,0,Graduate Professional,29,"2,40,000",2 Lacs,"14,000",14 Thou
13,A.Radha Krishnan,8115,IND,0,12th Pass,63,"2,20,000",2 Lacs,"3,35,000",3 Lacs
14,A.Senthilvel,5287,IND,0,8th Pass,46,"42,56,700",42 Lacs,0,
15,A.Velladurai,8100,Ezhuchi Tamilargal Munnetra Kazhagam,0,8th Pass,51,"28,15,600",28 Lacs,"63,000",63 Thou
16,A.Vijay Poul Raja,14204,Republican Sena,0,Graduate,43,"62,53,305",62 Lacs,"5,543",5 Thou
17,Aadhi Krishnan P,8872,BSP,0,Literate,43,"1,74,852",1 Lacs,"18,269",18 Thou
18,Abdul Baseeth,4758,IND,0,Graduate,30,"44,415",44 Thou,0,
19,Abdulbuhari.K,8125,IND,0,10th Pass,42,0,0,0,
20,Abirami P,8530,Tamil Nadu Ilangyar Katchi,1,Graduate,36,"8,94,700",8 Lacs,"2,00,000",2 Lacs
21,"Advocate.Thangapandian, M.",8065,IND,0,12th Pass,35,"7,79,539",7 Lacs,"1,00,000",1 Lacs
22,Agni Sriramachandran,6414,IND,0,10th Pass,38,"30,00,000",30 Lacs,0,
23,Agni Sriramachandran,14205,IND,0,10th Pass,38,"5,25,000",5 Lacs,0,
24,Agri Krishnamurthy S S,5251,AIADMK,1,Graduate Professional,59,"7,04,03,250",7 Crore,"98,87,013",98 Lacs
25,Ahamed Shahjahan.M,7555,IND,0,Post Graduate,49,"43,00,000",43 Lacs,0,
26,Ajaz.S,6497,IND,0,Graduate Professional,33,"5,88,540",5 Lacs,0,
27,Alagaapuram R. Mohanraj,5205,DMDK,6,12th Pass,65,"4,57,42,218",4 Crore,"28,31,960",28 Lacs
28,Alagar M,8074,Makkal Needhi Maiam,0,Graduate Professional,52,"62,97,227",62 Lacs,"46,76,374",46 Lacs
29,Alagar P,8073,Desiya Makkal Sakthi Katchi,0,5th Pass,90,0,0,0,
30,"Alagarsamy, N.",8054,IND,0,Illiterate,32,"2,05,000",2 Lacs,0,
31,"Alagarsamy, R.",8046,DMDK,3,10th Pass,47,"1,26,71,316",1 Crore,"3,38,783",3 Lacs
32,Alexpandian S,8929,IND,0,Graduate Professional,25,"39,76,788",39 Lacs,0,
33,Alla Pichai,8955,IND,0,Graduate,75,"1,85,13,000",1 Crore,"5,00,000",5 Lacs
34,Amalan Rajiv Bonifas,8025,IND,1,12th Pass,35,"19,53,000",19 Lacs,0,
35,Ambikapathi D,8134,"Makkal Sananayaga Kudiyarasu Katchi,",0,12th Pass,39,"87,000",87 Thou,0,
36,Anandharaj. M,8956,IND,0,12th Pass,40,"15,16,792",15 Lacs,"4,50,000",4 Lacs
37,Anandharaja. V,8404,Makkal Needhi Maiam,0,Graduate,53,"1,01,45,000",1 Crore,"5,67,000",5 Lacs
38,"Anandraj, B.",8292,IND,0,Others,27,"41,86,115",41 Lacs,0,
39,Anantharaman R K,6446,IND,0,Graduate,40,0,0,0,
40,Ananthi S,6509,IND,0,Post Graduate,35,"4,66,000",4 Lacs,0,
41,"Ananthraj, T",8430,IND,0,Illiterate,34,"15,49,689",15 Lacs,0,
42,Anbalagan M,8553,IND,0,Graduate Professional,38,"13,25,000",13 Lacs,"1,20,000",1 Lacs
43,Anbalagan T,8532,IND,0,12th Pass,55,"22,07,000",22 Lacs,"5,75,000",5 Lacs
44,Anbazhagan T,8880,IND,0,Graduate Professional,29,"3,34,500",3 Lacs,0,
45,Anbin Poyyamozhi S,8531,Makkal Needhi Maiam,1,Post Graduate,48,"1,22,000",1 Lacs,0,
46,Anbukani S,8881,IND,0,Post Graduate,33,"2,21,000",2 Lacs,0,
47,Anbumani Ramadoss,5245,Pattali Makkal Katchi,12,Graduate Professional,50,"33,85,35,112",33 Crore,"7,26,81,681",7 Crore
48,Anburose. D,8429,IND,0,12th Pass,47,"70,58,000",70 Lacs,0,
49,Anitha V,8131,BSP,0,Others,37,0,0,0,
50,Annadhurai. K,8567,Ganasangam Party of India,0,5th Pass,43,"32,000",32 Thou,0,
51,Annadurai B,8552,IND,0,5th Pass,52,"3,38,550",3 Lacs,0,
52,Annadurai C N,5248,DMK,0,Graduate,45,"13,48,97,466",13 Crore,"3,22,43,604",3 Crore
53,Annadurai P,8077,IND,0,10th Pass,51,"4,01,171",4 Lacs,"40,000",40 Thou
54,Annadurai T S,8550,IND,0,Graduate Professional,40,"16,34,400",16 Lacs,"4,99,000",4 Lacs
55,"Annadurai, V.",8291,IND,0,Post Graduate,37,"15,32,000",15 Lacs,0,
56,Annadurai. K,8178,IND,0,8th Pass,51,"12,91,267",12 Lacs,"1,71,380",1 Lacs
57,Annakili,8930,IND,0,10th Pass,40,"85,000",85 Thou,0,
58,Ansari S,8455,IND,0,Graduate,40,"1,23,000",1 Lacs,0,
59,Anto Hillery M,5345,IND,0,Graduate,43,0,0,"23,60,118",23 Lacs
60,Antony.M,5221,BSP,0,Post Graduate,44,"28,65,000",28 Lacs,0,
61,Arasan K,4742,IND,0,Illiterate,64,"3,30,000",3 Lacs,0,
62,"Arasur Manoharan (A) Manoharan, S.",8425,BSP,0,12th Pass,63,"1,25,500",1 Lacs,0,
63,Arimalam Thiagi.Subramanian Muthuraja,8098,Agila India Makkal Kazhagam,0,10th Pass,80,"4,00,000",4 Lacs,0,
64,Arivazhagan.P,8569,IND,0,12th Pass,47,"1,13,15,861",1 Crore,"6,00,000",6 Lacs
65,Arul R,8548,Makkal Needhi Maiam,0,Others,44,"21,28,322",21 Lacs,"5,05,039",5 Lacs
66,Arulmozhithevan,5337,Naam Tamilar Katchi,0,Graduate Professional,36,"1,58,35,879",1 Crore,0,
67,Arumugam .P,14206,IND,0,Others,43,"99,000",99 Thou,"1,50,000",1 Lacs
68,Arumugam S,8926,BSP,1,Post Graduate,48,"5,40,100",5 Lacs,0,
69,Arumugam V,7533,IND,0,10th Pass,51,0,0,0,
70,"Arumukam, P.",8522,IND,3,Illiterate,43,"44,000",44 Thou,0,
71,Arunachalam A,5281,IND,0,Doctorate,68,"5,05,46,411",5 Crore,0,
72,Arunachalam. A,8408,IND,0,Graduate,44,"1,09,52,500",1 Crore,0,
73,Arunkumar. A,8428,IND,0,Post Graduate,30,"4,02,007",4 Lacs,"81,500",81 Thou
74,Asaimani. S,8174,AIADMK,0,Post Graduate,64,"1,71,59,486",1 Crore,"3,54,102",3 Lacs
75,Asaithambi. P,5302,CPI(ML)(L),2,Graduate Professional,47,"61,000",61 Thou,0,
76,Asan Ali. A,8954,IND,0,12th Pass,32,"3,07,501",3 Lacs,0,
77,"Ashok Kumar, R",8520,BSP,0,10th Pass,48,"18,26,000",18 Lacs,0,
78,Ayodhi L,6436,IND,0,Doctorate,54,"1,78,34,671",1 Crore,"22,00,000",22 Lacs
79,Ayyappan M,8556,IND,0,Post Graduate,27,0,0,0,
80,B. Krishnaraja,8961,IND,0,Others,44,"1,65,000",1 Lacs,0,
81,B.Govindan,6495,IND,0,10th Pass,51,"21,91,000",21 Lacs,0,
82,B.Raji,8659,IND,0,Graduate Professional,28,"30,200",30 Thou,0,
83,Baalu.T.R.,5219,DMK,0,Graduate,77,"20,88,06,446",20 Crore,0,
84,Babu B,8547,BSP,0,Graduate Professional,27,"1,10,000",1 Lacs,0,
85,Babu G,8896,IND,0,Graduate Professional,33,"50,000",50 Thou,0,
86,"Backiyaraj, K.",8070,IND,0,5th Pass,49,"2,93,000",2 Lacs,0,
87,Bagavathikesan T,7929,IND,0,Post Graduate,44,"24,67,000",24 Lacs,"3,080",3 Thou
88,"Bala Murugan, P.",7978,IND,0,Graduate,36,"13,90,500",13 Lacs,"3,02,314",3 Lacs
89,"Balachandar, N.",8071,IND,0,8th Pass,33,0,0,0,
90,Balachandran T,5330,IND,0,Graduate,58,"14,82,174",14 Lacs,"1,65,000",1 Lacs
91,Balaji G,5294,IND,0,Post Graduate,32,"87,923",87 Thou,0,
92,Balamurugan. S,8403,BSP,0,Graduate Professional,40,"40,66,500",40 Lacs,"17,10,000",17 Lacs
93,Balasubramanian. E,7488,BSP,0,8th Pass,42,"1,26,000",1 Lacs,0,
94,Baratharaj. S,8919,IND,0,Graduate,53,"12,73,750",12 Lacs,0,
95,Baskar B,7549,Naam Tamilar Katchi,0,Doctorate,44,"1,99,18,500",1 Crore,"13,78,00,000",13 Crore
96,Bishop Godfrey Noble,14200,Desiya Makkal Sakthi Katchi,2,Graduate Professional,48,"26,96,10,432",26 Crore,"18,00,000",18 Lacs
97,Boomi Rajan K,8087,IND,2,5th Pass,34,"12,57,401",12 Lacs,0,
98,Boominathan K,8086,IND,0,5th Pass,47,"2,32,634",2 Lacs,"4,000",4 Thou
99,Britto Jai Singh M,8085,IND,0,12th Pass,34,0,0,0,
100,C P Radhakrishnan,5855,BJP,0,Graduate,61,"67,11,40,166",67 Crore,"2,36,86,000",2 Crore
101,C. Ananth,8957,IND,0,Graduate,28,"1,02,000",1 Lacs,0,
102,C. Jeyaprakash,8270,BSP,0,Others,35,"14,07,500",14 Lacs,"7,48,000",7 Lacs
103,C. Moorthy,8602,IND,0,8th Pass,35,"82,000",82 Thou,"50,000",50 Thou
104,C.Ayyanar,5285,BSP,0,Graduate,56,"96,000",96 Thou,0,
105,C.Bharath,6370,IND,0,Graduate Professional,26,"7,11,047",7 Lacs,0,
106,C.Chidambaram,8106,IND,0,Others,63,"7,22,500",7 Lacs,0,
107,C.Dhanraj,6406,IND,0,Graduate Professional,44,"29,28,000",29 Lacs,0,
108,C.Kalanithi,6372,Anti Corruption Dynamic Party,0,Graduate,39,"3,19,000",3 Lacs,"1,50,000",1 Lacs
109,C.Rosi,8660,IND,0,12th Pass,29,0,0,0,
110,C.Saravanan,8104,IND,0,Post Graduate,33,"13,90,000",13 Lacs,0,
111,"Chandirakumar, V.S.",7519,Makkal Needhi Maiam,0,10th Pass,46,"5,17,56,996",5 Crore,"4,19,24,988",4 Crore
112,Chandramohan M,7596,Vivasayigal Makkal Munnetra Katchi,0,Others,48,"10,35,000",10 Lacs,0,
113,Chandranathan S,6466,IND,0,Graduate,27,"69,289",69 Thou,0,
114,Chandrasekar P,5311,AIADMK,0,Post Graduate,46,"2,71,82,370",2 Crore,"58,73,380",58 Lacs
115,Chandrasekaran V,7589,IND,0,Graduate,49,"88,38,575",88 Lacs,"10,62,000",10 Lacs
116,Chelladurai,8273,Tamil Nadu Ilangyar Katchi,0,Graduate,35,"1,75,000",1 Lacs,0,
117,Chellaperumal.,8415,IND,0,Post Graduate,64,"27,48,000",27 Lacs,0,
118,Chinraj A.K.P,5275,DMK,0,Graduate,54,"48,52,05,173",48 Crore,"1,86,42,484",1 Crore
119,Chitra P,5279,IND,0,Graduate,40,0,0,"7,17,500",7 Lacs
120,Chitra R,5307,Naam Tamilar Katchi,0,Graduate,40,"6,40,737",6 Lacs,0,
121,Cho V,7534,IND,0,Graduate,47,"59,000",59 Thou,0,
122,"Christantine Rajasekar, S.",8022,Naam Tamilar Katchi,1,12th Pass,55,"3,29,36,394",3 Crore,"50,00,000",50 Lacs
123,D. Doss,5231,BSP,0,10th Pass,48,"1,30,000",1 Lacs,0,
124,D. Sankar,8279,IND,0,Graduate,27,"2,42,500",2 Lacs,0,
125,D. Senthamarai Kannan,8281,IND,0,10th Pass,55,"75,44,600",75 Lacs,"29,50,000",29 Lacs
126,D.Anandaraj,6367,IND,0,12th Pass,34,"1,70,55,961",1 Crore,"17,00,000",17 Lacs
127,D.Hariharan,8661,IND,0,Others,44,"7,44,82,760",7 Crore,"1,60,00,000",1 Crore
128,D.Karthick,8650,IND,0,Graduate Professional,33,"5,79,500",5 Lacs,0,
129,D.M. Kathir Anand,14218,DMK,2,Post Graduate,43,0,0,"33,07,588",33 Lacs
130,D.Ravi Pariyanar,5201,RPI(A),0,10th Pass,43,"1,45,000",1 Lacs,0,
131,Dasaprakash K,8893,IND,0,Graduate Professional,36,"1,95,000",1 Lacs,0,
132,David Annadurai K,8080,IND,3,Graduate Professional,42,"2,87,87,054",2 Crore,"3,30,000",3 Lacs
133,Dayanidhi Maran,6457,DMK,1,Graduate,52,"11,67,90,616",11 Crore,0,
134,Deepalakshmi,6479,Naam Tamilar Katchi,0,Others,34,"12,59,183",12 Lacs,"3,48,000",3 Lacs
135,Deepan. M,7967,IND,0,Graduate,36,"54,70,000",54 Lacs,"7,84,646",7 Lacs
136,Desingu A,8535,IND,0,10th Pass,37,"45,694",45 Thou,0,
137,Deva Sitham. I,8963,IND,2,Graduate Professional,32,"2,22,839",2 Lacs,"1,82,660",1 Lacs
138,Devados. P,8191,IND,0,8th Pass,32,"22,000",22 Thou,"20,000",20 Thou
139,Devappa.Y,5241,IND,0,10th Pass,53,0,0,0,
140,Devarajan C,5229,IND,0,10th Pass,51,"2,50,000",2 Lacs,0,
141,Dhanush M Kumar,7960,DMK,1,Post Graduate,44,"5,13,60,700",5 Crore,"28,96,862",28 Lacs
142,Dhanuskodi P,7970,IND,0,Graduate Professional,37,"1,57,000",1 Lacs,"1,05,140",1 Lacs
143,Dharmalingam S,6508,IND,0,5th Pass,47,"38,17,600",38 Lacs,0,
144,Dharmar P,8081,IND,0,10th Pass,35,"42,024",42 Thou,0,
145,Dhavamani A,5327,BSP,0,5th Pass,53,"27,000",27 Thou,0,
146,Dinakaran G,6452,IND,0,Post Graduate,29,"70,000",70 Thou,0,
147,"Dineshkumar, M.",8435,IND,0,Post Graduate,28,"3,25,000",3 Lacs,0,
148,Dnv Senthilkumar.S,8566,DMK,1,Post Graduate,41,"4,84,77,451",4 Crore,"60,53,502",60 Lacs
149,Dr Govindasamy R,5308,Pattali Makkal Katchi,1,Post Graduate,69,0,0,"10,65,600",10 Lacs
150,"Dr. Bhuvaneswaran, M.",8037,IND,1,Doctorate,52,"7,80,31,419",7 Crore,"40,74,230",40 Lacs
151,Dr. Elango.S,8570,IND,0,Post Graduate,59,"1,10,45,381",1 Crore,0,
152,Dr. Kalanidhi Veeraswamy,5206,DMK,0,Post Graduate,49,"40,52,94,714",40 Crore,"25,83,86,550",25 Crore
153,Dr. Tamilisai Soundararajan,7971,BJP,0,Graduate Professional,57,"10,99,07,600",10 Crore,"1,09,87,000",1 Crore
154,Dr.A.Chellakumar,6488,INC,5,Post Graduate,58,"12,10,87,979",12 Crore,"6,68,17,959",6 Crore
155,"Dr.Dhanushkodi, M.",8066,IND,0,Post Graduate,53,"47,94,245",47 Lacs,"2,90,000",2 Lacs
156,Dr.Elangovan. V,8401,DMDK,0,Graduate Professional,70,"2,73,90,154",2 Crore,0,
157,Dr.K.Jayakumar,6362,INC,0,Doctorate,69,"2,45,83,769",2 Crore,0,
158,Dr.K.Krishnasamy,5349,AIADMK,9,Post Graduate,66,"25,95,84,771",25 Crore,"1,62,20,826",1 Crore
159,Dr.P.Venugopal,5200,AIADMK,0,Graduate Professional,66,0,0,"12,49,867",12 Lacs
160,Dr.T.M.S. Sadhu Muthu Kirshan Erjendran,8595,IND,0,Doctorate,57,"25,000",25 Thou,0,
161,Durai Benjamin,8417,IND,0,Post Graduate,47,"18,91,458",18 Lacs,"5,00,000",5 Lacs
162,Durai.S,8573,IND,0,12th Pass,39,"41,70,618",41 Lacs,"20,00,000",20 Lacs
163,E. Karunanithi,6470,IND,0,Graduate Professional,53,"10,00,000",10 Lacs,0,
164,E.Dhanasekaran,6418,IND,0,10th Pass,51,"5,07,058",5 Lacs,0,
165,E.Subaya,8655,IND,0,Doctorate,55,"2,37,58,41,961",237 Crore,"1,80,87,123",1 Crore
166,Easudoss. S,8405,Indian Christian Front,0,8th Pass,52,"73,76,000",73 Lacs,0,
167,Ebeneezer S,8883,IND,0,Post Graduate,67,"1,36,69,376",1 Crore,"1,85,000",1 Lacs
168,"Elango, S.",8055,IND,0,5th Pass,34,"2,60,000",2 Lacs,0,
169,Elangovan M,8586,IND,0,10th Pass,35,0,0,0,
170,"Elangovan, E.V.K.S.",5334,INC,10,Graduate,70,"23,62,41,267",23 Crore,"74,50,651",74 Lacs
171,Elavarasan A,8263,IND,0,Doctorate,55,"1,46,72,869",1 Crore,"58,00,000",58 Lacs
172,Elumalai K,8539,IND,0,8th Pass,35,"1,60,000",1 Lacs,0,
173,Elumalai S,8540,IND,0,8th Pass,37,"13,60,000",13 Lacs,0,
174,Elumalai V,5257,AIADMK,0,Graduate Professional,63,"11,11,58,268",11 Crore,"18,84,554",18 Lacs
