serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
0,Aashin U. S.,13675,Indian Gandhiyan Party,2,12th Pass,32,"3,26,000",3 Lacs,0,
1,Abhimanyu Singh Patel,13475,Pragatishil Samajwadi Party (Lohia),0,Graduate Professional,43,"68,19,643",68 Lacs,"24,672",24 Thou
2,Abhimanyu Singh Sunny,13620,Suheldev Bhartiya Samaj Party,0,Post Graduate,28,"4,46,300",4 Lacs,0,
3,Abhishek Chand,13690,Suheldev Bhartiya Samaj Party,0,Post Graduate,30,"5,45,000",5 Lacs,0,
4,Abu Umaima,13456,IND,0,Graduate Professional,32,"26,16,000",26 Lacs,0,
5,Abushad,14105,Akhand Samaj Party,0,Literate,47,"3,71,500",3 Lacs,0,
6,Acharya Pramod Krishnam,11874,INC,0,Post Graduate,56,"4,97,65,383",4 Crore,0,
7,Adesh Tyagi,13894,Bharat Prabhat Party,0,Graduate,49,"2,46,45,000",2 Crore,0,
8,Advocate Prem Nath Sharma,13910,Moulik Adhikar Party,0,Post Graduate,57,"33,08,426",33 Lacs,0,
9,Afajal Varis,11785,Bahujan Mukti Party,1,8th Pass,46,0,0,0,
10,Aftab Alam,12374,BSP,3,Graduate,37,"6,32,42,772",6 Crore,"1,93,91,778",1 Crore
11,Afzaal,6135,Bahujan Maha Party,2,8th Pass,48,"21,21,000",21 Lacs,"50,000",50 Thou
12,Afzal Ansari,12952,BSP,5,Post Graduate,65,"13,79,38,756",13 Crore,0,
13,Ajay Kumar,12348,IND,0,Graduate,50,"2,23,46,181",2 Crore,"19,58,107",19 Lacs
14,Ajay Kumar,9652,Bhartiya Jan Nayak Party,2,Post Graduate,35,"42,05,000",42 Lacs,0,
15,Ajay Kumar,9723,BJP,1,Graduate Professional,60,"4,52,95,455",4 Crore,0,
16,Ajay Kumar Dixit,11310,IND,0,Graduate,56,"17,72,410",17 Lacs,0,
17,Ajay Kumar Sharma,12379,Moulik Adhikar Party,0,Post Graduate,41,"23,29,000",23 Lacs,0,
18,Ajay Rai,13673,INC,8,Graduate,49,"1,39,70,015",1 Crore,0,
19,Ajay Singh,9683,BSP,0,12th Pass,46,0,0,"6,61,326",6 Lacs
20,Ajeet Kumar,5508,BSP,0,Doctorate,51,"28,18,52,783",28 Crore,0,
21,Ajeet Kumar Patel,13476,Pragatisheel Samaj Party,0,12th Pass,31,"18,81,200",18 Lacs,0,
22,Ajimullah,13897,Peace Party,0,Post Graduate,64,"23,05,000",23 Lacs,0,
23,Ajit Pratap Kushawaha,12955,INC,1,Graduate Professional,46,"1,57,33,302",1 Crore,"68,07,639",68 Lacs
24,Ajit Singh,6096,RLD,0,Post Graduate,78,"16,61,25,602",16 Crore,0,
25,Akash Niraj,11031,IND,0,Post Graduate,29,"27,17,326",27 Lacs,0,
26,Akeel,9542,IND,0,Literate,39,"24,40,000",24 Lacs,0,
27,Akhilesh,12367,NCP,0,Doctorate,51,"12,32,900",12 Lacs,"2,70,000",2 Lacs
28,Akhilesh,12561,IND,0,12th Pass,43,"85,000",85 Thou,0,
29,Akhilesh,13455,IND,0,Graduate,55,0,0,0,
30,Akhilesh,14023,SP,4,Graduate,55,"8,22,63,380",8 Crore,0,
31,Akhilesh Kumar,13492,Moulik Adhikar Party,0,Graduate,46,"43,01,046",43 Lacs,"7,09,201",7 Lacs
32,Akhilesh Yadav,12358,SP,0,Graduate Professional,45,"37,78,59,166",37 Crore,"28,53,000",28 Lacs
33,Akhtar,6122,IND,0,Literate,48,"33,00,000",33 Lacs,"1,50,000",1 Lacs
34,Akshash Krishna,10516,Pichhra Samaj Party,0,Graduate,30,"3,43,500",3 Lacs,0,
35,Akshay Pratap Singh Alias Gopal Ji,13461,Jansatta Dal Loktantrik,4,8th Pass,51,"15,61,38,084",15 Crore,"4,62,18,245",4 Crore
36,Akshay Yadav,7419,SP,0,Graduate Professional,32,"32,11,57,801",32 Crore,"5,03,58,593",5 Crore
37,Akshayabar Lal,11039,BJP,0,10th Pass,73,"4,56,91,463",4 Crore,"30,28,133",30 Lacs
