serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
0,Abdul Hannan Sardar,13966,IND,0,5th Pass,63,"10,67,000",10 Lacs,0,
1,Abdul Rahim Mallik,13444,IND,0,Literate,52,"9,77,587",9 Lacs,0,
2,Abdus Sadek Sarkar,7853,INC,4,Graduate Professional,40,"2,18,68,500",2 Crore,"98,84,000",98 Lacs
3,Abhas Ray Chaudhuri,10091,CPI(M),2,Post Graduate,50,"42,67,888",42 Lacs,0,
4,Abhijit Mukherjee,7439,INC,0,Graduate Professional,59,"14,33,50,474",14 Crore,"3,04,21,037",3 Crore
5,Abhijit Saha,10531,INC,0,Graduate,47,"41,95,922",41 Lacs,"1,13,600",1 Lacs
6,Abhishek Banerjee,12741,AITC,0,Graduate,31,"1,37,94,320",1 Crore,0,
7,Abhishek Kumar Singh,10074,SHS,0,Post Graduate,49,"88,89,200",88 Lacs,"69,96,000",69 Lacs
8,Abu Hasem Khan Chowdhury,7856,INC,0,Doctorate,72,"27,09,59,520",27 Crore,"7,28,107",7 Lacs
9,"Abu Hena, S/O - Late Abdus Sattar",7460,INC,0,Post Graduate,69,0,0,0,
10,"Abu Hena, S/O - Sazzad Ali",9901,IND,0,12th Pass,26,"7,25,512",7 Lacs,0,
11,Abu Taher Khan,7462,AITC,3,8th Pass,57,"89,26,616",89 Lacs,"13,50,000",13 Lacs
12,Abul Kashem Dhali,13959,BSP,0,12th Pass,56,"9,33,811",9 Lacs,0,
13,Adhikary Paresh Chandra,4951,AITC,0,12th Pass,66,"4,17,75,148",4 Crore,"41,20,964",41 Lacs
14,Adhir Ranjan Chowdhury,10085,INC,7,10th Pass,63,"10,13,15,437",10 Crore,"85,06,984",85 Lacs
15,Advocate Anjay Debsarma,7235,IND,0,Post Graduate,38,"7,06,000",7 Lacs,0,
16,Agarwal Kanaialal,7228,AITC,4,Post Graduate,64,"2,06,95,117",2 Crore,0,
17,Ajay Dahal,7218,IND,0,12th Pass,46,"55,46,008",55 Lacs,0,
18,Ajay Ghosh,12738,SUCI(C),1,Post Graduate,69,"43,35,520",43 Lacs,0,
19,Ajay Kumar Bain,12752,SUCI(C),0,Graduate,54,0,0,"1,50,000",1 Lacs
20,Ajit Kumar Bauri,12441,SUCI(C),0,Graduate,38,"1,17,442",1 Lacs,0,
21,Akik Hossain Chowdhury,7232,Kamatapur Peoples Party (United),0,Graduate,48,"10,65,000",10 Lacs,0,
22,Al Monowara Begam,9888,IND,0,Illiterate,44,"61,000",61 Thou,0,
23,Alakesh Das,11510,CPI(M),1,Graduate Professional,55,"55,56,977",55 Lacs,"5,24,879",5 Lacs
24,Alimuddin Nazir,11559,Rashtriya Janadhikar Suraksha Party,0,12th Pass,26,"50,000",50 Thou,0,
25,Amal Barman,11527,IND,0,10th Pass,42,"24,37,609",24 Lacs,0,
26,Amar Singh Rai,7211,AITC,2,Post Graduate,71,"1,70,51,116",1 Crore,"1,20,000",1 Lacs
27,Amarnath Chowdhury,10068,SUCI(C),0,Post Graduate,63,"1,06,65,432",1 Crore,0,
28,Amit Sengupta,13974,Rashtriya Janasachetan Party,0,12th Pass,67,"24,15,100",24 Lacs,"2,70,000",2 Lacs
29,Amitav Naskar,14020,New Democratic Party of India,0,Post Graduate,33,0,0,0,
30,Amiya Patra,12435,CPI(M),1,Graduate,67,"75,21,446",75 Lacs,0,
31,Amiya Sarkar,13965,IND,0,Graduate,51,"5,43,825",5 Lacs,0,
32,Ananda Kumar Saren,13441,Rashtriya Janadhikar Suraksha Party,0,Graduate,43,"1,16,000",1 Lacs,0,
33,Anandi Tudu,13430,BSP,0,12th Pass,50,"4,36,641",4 Lacs,0,
34,Angshudhar Mandal,7447,SUCI(C),0,Graduate,45,"20,27,000",20 Lacs,0,
35,Animesh Chandra Halder,11932,IND,0,12th Pass,40,"30,000",30 Thou,0,
36,Animesh Mal,13440,Bharatiya Nyay-Adhikar Raksha Party,0,Post Graduate,27,"3,57,097",3 Lacs,"58,000",58 Thou
37,Anisul Ambia,10079,SUCI(C),0,Graduate,56,"75,49,956",75 Lacs,0,
38,Anujit Kumar Nan,14012,IND,0,Graduate,53,"1,14,20,211",1 Crore,0,
39,Anupam Hazra,13979,BJP,0,Doctorate,37,0,0,0,
40,Anuradha Putatunda,13982,Party for Democratic Socialism,0,Graduate,64,"28,55,000",28 Lacs,"4,91,636",4 Lacs
41,Aparupa Poddar (Afrin Ali),11180,AITC,1,Post Graduate,33,"1,25,27,597",1 Crore,"42,44,000",42 Lacs
42,Apurba Sarkar,10081,AITC,9,12th Pass,55,"4,79,30,322",4 Crore,"21,19,820",21 Lacs
43,Arjun Keshari,9886,SHS,1,8th Pass,27,"20,85,000",20 Lacs,0,
44,Arjun Singh,11550,BJP,24,10th Pass,57,"80,55,691",80 Lacs,"11,00,000",11 Lacs
45,Arpita Ghosh,7426,AITC,0,Graduate,52,"28,24,728",28 Lacs,0,
46,Ashok Agarwala,10538,IND,0,Graduate,52,"3,73,050",3 Lacs,0,
47,Ashok Kumar Murmu,12458,BSP,0,Graduate,60,"1,02,60,245",1 Crore,0,
48,Ashoke Bairagi,13993,New Democratic Party of India,0,8th Pass,31,"62,000",62 Thou,"6,000",6 Thou
49,Ashoke Sarkar,12472,SHS,0,Graduate,65,0,0,0,
50,Ashraf Ali,11555,IND,0,10th Pass,52,"1,94,989",1 Lacs,0,
51,Asish Singha,10086,SHS,0,12th Pass,30,"14,300",14 Thou,0,
52,Asit Kumar Haldar,14021,IND,0,12th Pass,40,"2,25,368",2 Lacs,"9,25,000",9 Lacs
53,Asit Kumar Mal,10532,AITC,0,10th Pass,63,"13,10,691",13 Lacs,0,
54,Atanu Chatterjee,13986,IND,0,Graduate Professional,30,"7,10,585",7 Lacs,0,
55,Avash Munshi,11556,IND,0,10th Pass,54,"3,68,754",3 Lacs,0,
56,Avijit Khamaru,9880,IND,0,10th Pass,35,"22,70,200",22 Lacs,0,
57,Ayesha Khatun,10104,SUCI(C),0,Graduate,49,"83,300",83 Thou,0,
58,Badal Mondal,13997,IND,0,10th Pass,49,"1,06,585",1 Lacs,0,
59,Badaruddoza Khan,7459,CPI(M),0,Graduate,64,0,0,"42,492",42 Thou
60,Bandyopadhyay Sudip,14003,AITC,2,Graduate,70,"6,11,76,355",6 Crore,0,
61,Bani Chakraborty,13956,SHS,0,Graduate,46,"21,89,962",21 Lacs,"7,000",7 Thou
62,Barjuram Singh Sardar,13437,IND,0,Post Graduate,66,"2,13,287",2 Lacs,"50,000",50 Thou
63,Basudeb Sikari,13448,Bahujan Mukti Party,0,12th Pass,43,"5,50,000",5 Lacs,0,
64,Bhagirath Chandra Roy,5533,CPI(M),0,Post Graduate,62,"3,08,18,307",3 Crore,0,
65,Bharat Dong,5108,Gorkha Rashtriya Congress,1,8th Pass,75,"1,65,57,950",1 Crore,0,
66,Bharati Ghosh,12451,BJP,11,Post Graduate,56,"18,01,38,687",18 Crore,"73,39,380",73 Lacs
67,Bhaskar Ghosh,11194,SUCI(C),0,Post Graduate,39,"48,67,929",48 Lacs,"73,000",73 Thou
68,Bhaskar Paul,10539,IND,0,10th Pass,33,"9,03,050",9 Lacs,0,
69,Bibhuti Sardar,13445,IND,0,10th Pass,64,0,0,"1,00,000",1 Lacs
70,Bibhuti Tudu,7852,IND,0,10th Pass,42,"13,10,042",13 Lacs,0,
71,Bidyut Biswas,10550,IND,0,8th Pass,37,"8,07,700",8 Lacs,0,
72,Bijnan Kumar Bera,12729,SUCI(C),0,Graduate Professional,59,"1,05,48,730",1 Crore,0,
73,Bijoy Chandra Barman,4967,AITC,0,Post Graduate,62,"1,46,12,159",1 Crore,0,
74,Bijoy Krishna Dolui,10533,SUCI(C),0,Post Graduate,48,"44,35,101",44 Lacs,"40,00,000",40 Lacs
75,Bikash Ranjan Bhattacharyya,12737,CPI(M),0,Graduate Professional,68,"12,00,34,163",12 Crore,"2,43,58,926",2 Crore
