serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
0,Aashish Ratre,7478,Peoples Party of India (Democratic),0,Post Graduate,52,"72,80,000",72 Lacs,0,
1,Aatma Ram Sahu,7470,SUCI(C),0,Post Graduate,37,"48,000",48 Thou,0,
2,Aaytu Ram Mandavi,4907,BSP,0,8th Pass,55,"5,47,094",5 Lacs,0,
3,Ajay Chakole,8202,Gondvana Gantantra Party,0,Graduate,50,"3,59,14,112",3 Crore,0,
4,Ajay Pali,5536,SHS,0,5th Pass,40,"5,02,403",5 Lacs,880,8 Hund
5,Amrit Tirkey,9490,Pragatishil Samajwadi Party (Lohia),0,10th Pass,42,"6,00,000",6 Lacs,0,
6,Anoop Kumar Pandey,7471,IND,0,8th Pass,30,"5,25,000",5 Lacs,0,
7,Anurag Singh,11140,Bhartiya Kisan Party,0,Others,25,"3,490",3 Thou,0,
8,Arun Kumar Joshi,8212,IND,0,Others,49,"1,13,812",1 Lacs,0,
9,Arun Kumar Sahu,9461,IND,0,8th Pass,42,0,0,0,
10,Arun Sao,7793,BJP,0,Graduate Professional,51,"1,35,44,588",1 Crore,"50,000",50 Thou
11,Asha Devi Poya,7824,Gondvana Gantantra Party,0,Graduate Professional,44,"27,68,500",27 Lacs,"10,00,000",10 Lacs
12,Asharam Ratnakar,11350,IND,0,Graduate,38,"10,24,000",10 Lacs,"50,000",50 Thou
13,Ashok Soni,7176,Ambedkarite Party of India,0,8th Pass,40,"1,00,000",1 Lacs,0,
14,Atal Shrivastav,7792,INC,4,Graduate Professional,51,"15,82,33,341",15 Crore,"1,13,86,394",1 Crore
15,Avishek Ekka,8221,IND,0,Post Graduate,31,"4,90,000",4 Lacs,0,
16,Baidu Ram Kashyap,7195,BJP,2,10th Pass,46,"1,60,73,844",1 Crore,"1,41,005",1 Lacs
17,Baidya Shekhu Ram Verma,5112,Ambedkarite Party of India,0,Post Graduate,52,"64,80,674",64 Lacs,"8,20,000",8 Lacs
18,Baldau Prasad Sahu,9465,IND,0,Graduate,46,"11,97,650",11 Lacs,0,
19,Banmali Chhura,7815,Bharatiya Bahujan Party,0,12th Pass,36,0,0,"55,500",55 Thou
20,Bhojlal Netam,5549,CPI(ML) Red Star,0,5th Pass,69,"7,26,000",7 Lacs,0,
21,Bhojram Banjare,9484,Rashtriya Jansabha Party,1,10th Pass,60,"51,69,500",51 Lacs,0,
22,Bhola Ram Sahu,5414,INC,0,8th Pass,60,"1,24,28,558",1 Crore,"6,57,124",6 Lacs
23,Biresh Thakur,4974,INC,0,Post Graduate,52,"66,66,614",66 Lacs,0,
24,Champalal Patel,5418,IND,0,Graduate,57,"20,79,441",20 Lacs,0,
25,Chandra Bhushan Kanwar,7480,Ambedkarite Party of India,0,Post Graduate,41,"35,600",35 Thou,0,
26,Chandradeep Singh Korcho,9498,Rashtriya Jansabha Party,0,Graduate,26,"1,20,000",1 Lacs,0,
27,Chhabi Lal Kanwar,8198,Bhartiya Shakti Chetna Party,0,12th Pass,40,"83,54,152",83 Lacs,0,
28,Chunni Lal Sahu,7178,BJP,0,Graduate,51,"1,75,91,683",1 Crore,"13,83,014",13 Lacs
29,Dauram Satnami,7475,BSP,0,Post Graduate,60,0,0,"19,70,757",19 Lacs
30,Deepak Kumar Baij,4906,INC,1,Post Graduate,38,"77,21,293",77 Lacs,"18,01,236",18 Lacs
31,Deepak Kumar Sahu,8208,IND,0,Post Graduate,33,"1,56,68,237",1 Crore,0,
32,Devendar Singh Thakur (Rajput),7179,IND,1,12th Pass,33,"37,75,400",37 Lacs,0,
33,Devendra Kumar Patil,7500,SUCI(C),0,Graduate,37,"24,000",24 Thou,0,
34,Devki Dubey,7819,RPI(A),0,10th Pass,51,"34,50,000",34 Lacs,"10,00,000",10 Lacs
35,Dhanendra Sahu,5415,INC,0,12th Pass,66,"9,21,23,717",9 Crore,"1,06,791",1 Lacs
36,Dhansing Kosariya,5546,BSP,2,12th Pass,48,"6,76,500",6 Lacs,"1,60,000",1 Lacs
37,Dr. Gojupal,7148,RPI(A),1,Graduate,53,"23,50,000",23 Lacs,0,
38,Dr. Virendra Choudhary,5416,Bhartiya Shakti Chetna Party,0,Others,52,"1,89,20,000",1 Crore,"34,00,000",34 Lacs
39,Dr. Yogita Bajpai,8197,Sarvodaya Bharat Party,0,Doctorate,49,0,0,"2,50,000",2 Lacs
40,Dujram Sahu,9460,IND,0,Literate,47,"2,85,000",2 Lacs,0,
41,Durgaprasad Thakur,7169,Ambedkarite Party of India,0,Post Graduate,43,"21,37,880",21 Lacs,"5,00,000",5 Lacs
42,Farid Mohammad Quraishi,11141,Gondvana Gantantra Party,0,Graduate Professional,37,"2,32,561",2 Lacs,0,
43,Geetanjali Singh,7472,BSP,0,Post Graduate,25,"54,48,306",54 Lacs,"29,00,000",29 Lacs
44,Ghanshyam Jurri,7170,Gondvana Gantantra Party,0,12th Pass,44,"63,23,000",63 Lacs,"8,90,000",8 Lacs
45,Gomati,7496,BJP,0,12th Pass,43,"70,43,539",70 Lacs,0,
46,Guharam Ajgalle,7477,BJP,0,Graduate Professional,52,"1,84,00,837",1 Crore,0,
47,Guman Singh Poya,9497,Ambedkarite Party of India,0,12th Pass,34,"1,07,500",1 Lacs,0,
48,Guru Dada Lokesh,11145,IND,0,Post Graduate,65,"60,05,000",60 Lacs,0,
49,Hairschandra Teli (Sahu),9462,IND,0,10th Pass,50,0,0,0,
50,Harish Kumar Mandwa,9473,IND,0,Graduate Professional,38,"2,44,000",2 Lacs,0,
51,Harisingh Sidar,7171,IND,0,10th Pass,73,"10,80,000",10 Lacs,"1,00,000",1 Lacs
