serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
0,Aalone Baxla,10252,IND,0,Graduate,47,"27,38,947",27 Lacs,0,
1,Abdul Rajak Ansari,10221,Sadan Vikas Party,1,Literate,64,"16,45,000",16 Lacs,0,
2,Abinashi Mundu,11964,Hum Bhartiya Party,0,Graduate,35,"11,30,569",11 Lacs,0,
3,Ahmad Ansari,13343,Bhartiya Lokmat Rashtrwadi Party,0,Literate,57,"2,90,000",2 Lacs,0,
4,Ajay Krishna,11367,Rashtriya Jansangharsh Swaraj Party,2,12th Pass,50,"63,98,000",63 Lacs,0,
5,Ajay Topno,11359,Jharkhand Party,0,Graduate,50,"81,91,682",81 Lacs,0,
6,Ajit Kumar Bhagat,10253,IND,0,Post Graduate,34,"25,50,000",25 Lacs,0,
7,Alok Kumar,11676,Rashtriya Jansangharsh Swaraj Party,0,Graduate,26,"70,000",70 Thou,0,
8,Amar Kumar Mahto,11682,RPI(A),0,12th Pass,29,"48,80,000",48 Lacs,0,
9,Ambar Saurav Kunal,10254,IND,0,Graduate Professional,25,0,0,0,
10,Amindra Paswan,10278,Bhartiya Lok Seva Dal,0,10th Pass,33,"37,87,000",37 Lacs,"75,000",75 Thou
11,Amit Jani,12214,Uttar Pradesh Navnirman Sena,9,Graduate Professional,38,"68,00,000",68 Lacs,"16,00,000",16 Lacs
12,Anand Paul Tirkey,10255,IND,0,Graduate Professional,27,"26,47,000",26 Lacs,0,
13,Angad Mahato,12219,Amra Bangalee,0,10th Pass,51,"32,76,000",32 Lacs,0,
14,Anil Soren,12879,IND,0,Graduate,31,"20,30,615",20 Lacs,"36,000",36 Thou
15,Anjana Bhuiyan,10279,BSP,0,8th Pass,47,"1,24,84,775",1 Crore,"25,12,110",25 Lacs
16,Anjana Mahata,12217,AITC,0,Post Graduate,38,"80,60,342",80 Lacs,0,
17,Anjani Pandey,11680,IND,0,Graduate Professional,61,"30,000",30 Thou,0,
