serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
0,Aadil,5452,IND,0,Literate,30,"8,64,000",8 Lacs,0,
1,Ajay Bhatt,5832,BJP,0,Graduate Professional,57,"1,96,99,529",1 Crore,0,
2,Ajay Tamta,5167,BJP,0,12th Pass,46,"99,10,448",99 Lacs,"55,845",55 Thou
3,Ambrish Kumar,5448,INC,0,Post Graduate,70,"85,48,506",85 Lacs,0,
4,Anandmani Dutt Joshi,5433,IND,0,8th Pass,51,"16,42,995",16 Lacs,0,
5,Anu Pant,5429,Uttarakhand Kranti Dal (Democratic),1,Graduate Professional,32,"39,35,900",39 Lacs,"3,50,000",3 Lacs
6,Bachi Singh,7184,IND,0,8th Pass,32,"40,000",40 Thou,0,
7,Barhm Dev Jha,5424,IND,0,Post Graduate,53,"2,45,31,259",2 Crore,0,
8,Bhagwat Prasad,5435,IND,0,10th Pass,57,"10,38,000",10 Lacs,0,
9,Bhanpal Singh,5447,Bahujan Mukti Party,0,Post Graduate,65,0,0,0,
10,Brij Bhushan Karanwal,5829,IND,0,Post Graduate,41,"3,20,10,000",3 Crore,"70,000",70 Thou
11,Daulat Kunwar,5428,IND,0,10th Pass,48,"47,57,609",47 Lacs,"22,00,000",22 Lacs
12,Dharmendra,7183,IND,0,Post Graduate,32,"2,08,000",2 Lacs,0,
13,Dilendrr Pal Singh,5437,Uttarakhand Kranti Dal (Democratic),0,Others,42,"8,35,000",8 Lacs,0,
14,Dr. Antriksh Saini,4914,BSP,0,Graduate Professional,60,"86,90,94,791",86 Crore,"27,88,77,123",27 Crore
15,Dr. Mukesh Semwal,4910,SUCI(C),1,Doctorate,47,"2,00,295",2 Lacs,0,
16,Dr. Ramendra Singh Bhandari,5431,IND,0,Doctorate,40,"6,90,000",6 Lacs,0,
17,Dropadi Verma,5170,Uttarakhand Kranti Dal (Democratic),0,Post Graduate,59,"2,30,98,000",2 Crore,0,
18,Furkan Ali,5450,Pragatishil Samajwadi Party (Lohia),0,Post Graduate,56,"71,82,794",71 Lacs,"2,39,092",2 Lacs
19,Gautam Singh Bisht,5422,Sarv Vikas Party,0,8th Pass,46,0,0,0,
20,Gopal Mani,4994,IND,0,Post Graduate,59,"1,80,29,611",1 Crore,0,
21,Harish Rawat,5833,INC,1,Graduate Professional,71,"5,67,35,244",5 Crore,"1,07,12,888",1 Crore
22,Jay Prakash Upadhyay,5831,UKD,2,Graduate,44,"2,21,60,000",2 Crore,"60,000",60 Thou
23,Jyoti Prakash Tamta,5834,Bahujan Mukti Party,0,Others,65,"1,10,66,282",1 Crore,0,
24,K.L. Arya,5444,UKD,0,Literate,61,"37,48,627",37 Lacs,0,
25,Kailash Pandey,4997,CPI(ML)(L),0,Doctorate,47,"12,55,235",12 Lacs,0,
26,Lalit Kumar,5842,Peoples Party of India (Democratic),0,Post Graduate,31,"1,00,000",1 Lacs,0,
27,Madhu Shah,5830,IND,0,5th Pass,34,"88,000",88 Thou,0,
28,Mala Rajya Laxmi Shah,4996,BJP,0,12th Pass,68,"1,84,66,40,100",184 Crore,"1,35,00,00,000",135 Crore
29,Manish Khanduri,5432,INC,0,Post Graduate,50,0,0,"55,60,112",55 Lacs
30,Narendra Chauhan,5451,Bhartiya Sarvodaya Party,0,Graduate,45,"28,57,000",28 Lacs,"3,00,000",3 Lacs
31,Navneet Agarwal,4999,BSP,0,Graduate Professional,46,"8,84,43,578",8 Crore,"3,53,52,263",3 Crore
32,Pradeep Tamta,5168,INC,1,Post Graduate,60,"1,32,93,598",1 Crore,"25,00,000",25 Lacs
33,Prem Prasad Arya,4998,Pragatisheel Lok Manch,0,Graduate,71,"7,09,109",7 Lacs,0,
34,Pritam Singh,5426,INC,1,Graduate Professional,60,"9,42,52,961",9 Crore,"92,78,744",92 Lacs
35,Rajendra Purohit,4995,CPI(M),0,Graduate,57,"1,52,20,000",1 Crore,0,
36,Ramesh Pokhriyal Nishank,5446,BJP,0,Doctorate,59,"2,87,39,888",2 Crore,"16,444",16 Thou
37,Reenu,7182,Hindusthan Nirman Dal,0,Post Graduate,38,"21,50,701",21 Lacs,"40,000",40 Thou
38,Sanjay Goyal,5425,IND,0,10th Pass,46,"4,08,54,000",4 Crore,"32,00,000",32 Lacs
39,Sanjay Kundaliya,5423,Uttarakhand Pragatisheel Party,0,Graduate Professional,47,0,0,"68,88,378",68 Lacs
40,Sardar Khan,5430,IND,0,8th Pass,57,"21,16,556",21 Lacs,"50,000",50 Thou
41,Satyapal,5427,BSP,1,5th Pass,61,"1,52,76,000",1 Crore,0,
42,Shanti Prasad Bhatt,4911,UKD,2,12th Pass,53,"12,89,500",12 Lacs,0,
43,Shishupal Singh,4915,IND,0,12th Pass,46,"3,23,000",3 Lacs,0,
44,Sukumar Vishwash,5837,IND,0,Literate,68,"20,55,399",20 Lacs,0,
45,Sunder Dhauni,4913,BSP,0,Post Graduate,41,"28,70,000",28 Lacs,"15,00,000",15 Lacs
46,Surendra Kumar Upadhayay,5841,UKD,0,Graduate,Unknown,"42,78,300",42 Lacs,"21,00,000",21 Lacs
47,Tirath Singh Rawat,4909,BJP,0,Post Graduate,55,"1,50,32,657",1 Crore,"35,00,000",35 Lacs
48,Tribirendra Singh Rawat,4916,Uttarakhand Kranti Dal (Democratic),0,12th Pass,30,"39,41,321",39 Lacs,0,
49,Vimla Arya,5169,UTTARAKHAND PARIVARTAN PARTY,0,Graduate,32,0,0,0,
50,Vinod Prasad Notiyal,5436,IND,0,8th Pass,43,"16,85,354",16 Lacs,0,
