serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
0,Akhlesh Kumar,14043,IND,0,12th Pass,30,"1,42,670",1 Lacs,0,
1,Avinash Singh Sharma,14045,Chandigarh Ki Aawaz Party,1,10th Pass,48,"2,02,33,248",2 Crore,"29,29,285",29 Lacs
2,Bhupinder Kaur,14050,Sarvjan Sewa Party,0,8th Pass,55,"6,64,400",6 Lacs,0,
3,Boota Singh,14059,IND,0,Post Graduate,68,"2,73,94,328",2 Crore,"10,00,000",10 Lacs
4,Devi Sirohi,14056,IND,0,Doctorate,66,"6,16,61,454",6 Crore,"68,610",68 Thou
5,Gurmail Singh,14046,AIFB,1,10th Pass,41,"1,80,00,000",1 Crore,"27,50,000",27 Lacs
6,Harmohan Dhawan,14042,AAP,0,Post Graduate,78,"24,30,11,000",24 Crore,0,
7,Jagdish Kumar Nidan,14047,Hindustan Shakti Sena,0,10th Pass,61,"26,56,000",26 Lacs,"22,00,000",22 Lacs
8,Jyoti,14048,Akhil Bhartiya Apna Dal,0,12th Pass,46,"6,10,000",6 Lacs,0,
9,Karan Vasudeva,14055,IND,0,Graduate,34,0,0,0,
10,Kirron Kher,12689,BJP,0,Post Graduate,66,"47,49,83,574",47 Crore,"62,79,188",62 Lacs
11,Lashkar Singh,14034,CPI(ML) Red Star,1,Graduate,78,"50,86,975",50 Lacs,0,
12,Manjeet Singh Bohat,14060,IND,0,Post Graduate,38,"58,56,000",58 Lacs,"18,00,000",18 Lacs
13,Mukesh Pachara,14051,Ambedkar National Congress,0,12th Pass,58,"7,79,372",7 Lacs,"1,74,000",1 Lacs
14,Nawab Ali,14049,Rashtriya Lokswaraj Party,0,8th Pass,44,"4,92,000",4 Lacs,0,
15,Nidhi Kansal,14057,IND,0,Post Graduate,38,"91,17,000",91 Lacs,0,
16,Parveen Kumar,14044,BSP,0,Others,44,"6,86,891",6 Lacs,0,
17,Pawan Kumar Bansal,13005,INC,0,Graduate Professional,70,"9,55,83,235",9 Crore,0,
18,Prem Lata,14058,IND,0,5th Pass,75,"13,68,85,178",13 Crore,0,
19,Raj Kamal Singh,14062,IND,0,8th Pass,32,0,0,0,
20,Ram Kumar,14063,IND,0,8th Pass,38,"6,37,000",6 Lacs,"2,70,000",2 Lacs
21,Ramneet,14053,Bhartiya Kisan Party,0,Post Graduate,41,"25,50,000",25 Lacs,0,
22,Sandeep Bidla,13006,Bahujan Mukti Party,0,10th Pass,32,"3,51,900",3 Lacs,"5,253",5 Thou
23,Sanjay Balaan,14039,Bhartiya Jan Samman Party,0,Illiterate,38,"22,37,237",22 Lacs,"5,13,000",5 Lacs
24,Sarabjeet Singh Sohal,14038,Bhartiya Rashtrawadi Party,0,Graduate Professional,67,"19,44,04,172",19 Crore,"10,00,000",10 Lacs
25,Satish Kumar,14037,Janral Samaj Party,0,Graduate Professional,60,"5,46,33,716",5 Crore,"6,00,910",6 Lacs
26,Satybir Singh,14036,Bhartiya Manavadhikaar Federal Party,0,10th Pass,48,"6,96,000",6 Lacs,0,
27,Shambhu,13007,Samaj Adhikar Kalyan Party,0,5th Pass,41,"54,12,500",54 Lacs,"1,00,000",1 Lacs
28,Sharmila Johari,14035,Bharat Prabhat Party,0,Graduate,38,"1,23,40,126",1 Crore,"20,64,433",20 Lacs
29,Subhash Chander Goyal,14040,RPI(A),0,Others,56,0,0,0,
30,Subhash Tamoli,14041,Bahujan Samaj Party (Ambedkar),0,5th Pass,54,"2,53,049",2 Lacs,0,
31,Sunita,14064,IND,0,12th Pass,25,"1,86,717",1 Lacs,"60,000",60 Thou
32,Tejinder Singh Walia,13008,IND,0,10th Pass,77,"1,10,69,358",1 Crore,0,
33,Uday Raj,14054,IND,0,10th Pass,36,"6,73,325",6 Lacs,"2,30,000",2 Lacs
34,Yogesh Dhingra,14061,IND,0,Post Graduate,30,"2,68,777",2 Lacs,0,
35,Yograj Sahota,14052,Rashtriya Jankranti Party,0,12th Pass,62,"94,00,000",94 Lacs,"50,37,086",50 Lacs
