serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
0,Bhikhlabhai Vansabhai Khulat,8246,Bhartiya Tribal Party,1,10th Pass,51,0,0,0,
1,Dayat Manoj Ranchod,9770,IND,0,12th Pass,31,"1,68,959",1 Lacs,"84,060",84 Thou
2,Delkar Mohanbhai Sanjibhai,8244,IND,0,Graduate,56,"70,88,85,980",70 Crore,"3,72,68,162",3 Crore
3,Dongarkar Ishwarbhai Gopjibhai,9767,BSP,0,Literate,34,"84,000",84 Thou,0,
4,Halpati Rajeshbhai Bhanabhai,9769,Navsarjan Bharat Party,0,12th Pass,35,0,0,0,
5,Janathiya Pravinbhai Ladakbhai,8245,Bahujan Mukti Party,0,12th Pass,31,0,0,0,
6,Kurada Deepakbhai,7412,IND,0,Graduate,33,"20,095",20 Thou,0,
7,Patel Ankita Amrutbhai,9768,SHS,0,Graduate Professional,35,"4,64,86,347",4 Crore,"1,22,06,998",1 Crore
8,Patel Dhirubhai Chhotubhai,8247,IND,1,10th Pass,48,"1,95,95,036",1 Crore,"85,861",85 Thou
9,Patel Natubhai Gomanbhai,8248,BJP,6,5th Pass,46,0,0,"21,56,17,501",21 Crore
10,Tokiya Prabhubhai,9766,INC,1,12th Pass,40,"54,30,633",54 Lacs,0,
