serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
0,Aashish S Saxena,13319,IND,0,Post Graduate,39,"26,80,000",26 Lacs,"2,42,000",2 Lacs
1,Abhinav Kumar,13383,Sanyukt Vikas Party,0,Graduate,32,"11,67,520",11 Lacs,0,
2,Aditi,12709,IND,1,Graduate,25,"18,505",18 Thou,0,
3,Aditya Kumar Naveen,12328,Hum Bhartiya Party,0,12th Pass,34,"20,44,023",20 Lacs,0,
4,Ajay Bhai,13381,Right to Recall Party,0,10th Pass,35,"1,40,88,213",1 Crore,"87,50,871",87 Lacs
5,Ajay Chaudhary,12291,Aapki Apni Party (Peoples),0,12th Pass,42,"5,59,000",5 Lacs,"1,80,000",1 Lacs
6,Ajay Kumar Lal,13318,IND,0,Post Graduate,60,"4,67,31,242",4 Crore,"43,01,374",43 Lacs
7,Ajay Makan,12705,INC,0,Post Graduate,55,"24,57,32,926",24 Crore,0,
8,Amanullah Ahmed,12277,Bhartiya Insan Party,0,10th Pass,34,"79,44,500",79 Lacs,0,
9,Amit Kumar Sharma,13384,Sanjhi Virasat Party,0,Graduate,43,0,0,0,
10,Amrender Kumar,13390,IND,0,10th Pass,30,"25,90,450",25 Lacs,"2,50,000",2 Lacs
11,Anil Kumar,13353,Rashtriya Rashtrawadi Party,0,Graduate,37,"21,25,449",21 Lacs,"1,25,000",1 Lacs
12,Anil Kumar Yadav,12309,IND,0,Graduate,27,"2,22,218",2 Lacs,0,
13,Anupam Tripathi,12290,Bhartiya Kisan Party,0,Graduate Professional,38,"30,71,500",30 Lacs,"7,00,000",7 Lacs
14,Anuruddh Kumar Dube,13382,Bharat Lok Sewak Party,1,10th Pass,39,"1,33,45,000",1 Crore,"18,20,843",18 Lacs
15,Arvinder Singh Lovely,12702,INC,0,Graduate,50,"5,04,52,066",5 Crore,0,
16,Ashok Kumar,12265,RPI(A),0,10th Pass,67,"2,10,00,000",2 Crore,0,
17,Ashok Surana,12293,IND,0,Graduate,44,"11,23,54,277",11 Crore,"22,50,000",22 Lacs
18,Atishi,12703,AAP,1,Post Graduate,37,"1,20,12,824",1 Crore,0,
19,Baidyanath Sah,12341,"Proutist Bloc, India",0,Graduate Professional,53,0,0,"2,11,300",2 Lacs
20,Balbir Singh Jakhar,12338,AAP,0,Graduate Professional,47,"3,28,94,288",3 Crore,"41,61,197",41 Lacs
21,Balbir Singh S/O Dayaram Chaudhary,13626,IND,0,Graduate,56,"26,29,592",26 Lacs,0,
22,Birju Nayak,12323,IND,0,Graduate,44,"45,89,741",45 Lacs,"1,30,000",1 Lacs
23,Brijesh Goyal,12706,AAP,0,Graduate,43,"95,94,156",95 Lacs,"32,85,554",32 Lacs
24,"Charan Singh ""Babrik""",12319,IND,0,8th Pass,50,"2,05,330",2 Lacs,0,
25,D Durga Prasad,12304,Challengers Party,0,Graduate Professional,53,"4,71,38,000",4 Crore,0,
26,D. Durga Prasad,12285,Challengers Party,0,Graduate Professional,53,"4,71,38,000",4 Crore,0,
27,Dalbir Singh Malik,13408,Voters Party International,0,12th Pass,56,"6,99,49,801",6 Crore,"51,81,183",51 Lacs
28,Dan Bahadur Yadav,13386,Bhartiya Janta Dal (Integrated),0,Graduate Professional,43,"43,05,100",43 Lacs,0,
29,Daya Nand Vats,12331,RPI(A),0,Post Graduate,62,0,0,0,
30,Deepak Kumar,12326,Aapki Apni Party (Peoples),0,8th Pass,41,"62,54,000",62 Lacs,0,
31,Deepti Chopra,13356,PRISM Party,0,Graduate,52,"1,33,15,170",1 Crore,"10,17,000",10 Lacs
32,Deepti Nadella,12284,Pyramid Party of India,0,Post Graduate,38,"90,62,141",90 Lacs,0,
33,Desh Kumar,13409,Akhil Bharatiya Jan Sangh,0,Graduate,56,"6,11,000",6 Lacs,0,
34,Dharambir Singh,12334,Rashtriya Janshakti Party (Secular),0,10th Pass,57,"4,99,904",4 Lacs,0,
35,Dheer Singh,13357,Rashtriya Jansambhavna Party,0,Graduate,36,"20,000",20 Thou,0,
36,Dilip Kumar,12327,Sanatan Sanskriti Raksha Dal,0,Graduate,44,"48,56,379",48 Lacs,"5,86,000",5 Lacs
37,Dilip Pandey,12701,AAP,1,Post Graduate,38,"54,33,393",54 Lacs,0,
38,Dilip Singh Kothari,13321,IND,0,Post Graduate,59,"58,52,977",58 Lacs,0,
39,Dr. Mahender Singh Churiyana,12330,Peoples Party of India (Democratic),0,Post Graduate,61,0,0,"11,50,000",11 Lacs
40,Dr. Suman Yadav,13414,Jai Maha Bharath Party,0,Doctorate,42,"2,40,54,066",2 Crore,"16,00,000",16 Lacs
41,Farhadeeba,13367,IND,0,10th Pass,38,"2,77,000",2 Lacs,"2,50,000",2 Lacs
42,Gaurav Bhatia,12708,Mazdoor Kirayedar Vikas Party,0,8th Pass,31,"2,83,000",2 Lacs,0,
43,Gautam Gambhir,12721,BJP,1,12th Pass,37,"1,47,15,87,789",147 Crore,"34,20,35,860",34 Crore
44,Gugan Singh,12707,AAP,0,8th Pass,70,"1,28,53,787",1 Crore,0,
45,Hafiz Burhanuddin,13375,The National Road Map Party of India,0,Post Graduate,57,"66,45,000",66 Lacs,0,
46,Hans Raj Hans,12712,BJP,0,10th Pass,57,"13,09,37,732",13 Crore,"4,78,97,494",4 Crore
47,Harbalwinder Singh,13380,IND,0,Post Graduate,38,"14,33,03,628",14 Crore,0,
48,Harkrishan Das Nijhawan,13323,IND,1,12th Pass,56,"3,61,67,926",3 Crore,"5,75,000",5 Lacs
49,Harsh Nath Verma,13420,IND,0,8th Pass,61,0,0,0,
50,Harsh Vardhan,12696,BJP,0,Post Graduate,64,"3,01,71,897",3 Crore,0,
51,Harsh Vardhan Shukla,13404,IND,0,Graduate Professional,26,"5,08,722",5 Lacs,0,
52,Hitesh Kumar,13376,Jai Prakash Janata Dal,0,Post Graduate,38,"5,37,25,000",5 Crore,"30,00,000",30 Lacs
53,Inder Sen,12268,Rashtriya Samrasta Party,0,10th Pass,36,"45,00,001",45 Lacs,"50,368",50 Thou
