serial_number,name,nem_candidate_id,party,criminal_cases,education,age,assets,assets_in_words,liabilities,liabilities_in_words
0,A.A. Sabri,6819,IND,0,12th Pass,69,"23,26,979",23 Lacs,0,
1,Aare Ellanna,5819,IND,0,5th Pass,53,"30,000",30 Thou,0,
2,Aare Sayanna,6311,IND,0,12th Pass,37,"6,50,000",6 Lacs,0,
3,Abdallah Ibrahim,6787,IND,0,12th Pass,53,"1,02,38,358",1 Crore,0,
4,Abdul Azeem,6792,IND,0,10th Pass,49,0,0,0,
5,Admala Mahipal Reddy,6312,IND,0,12th Pass,36,"16,20,000",16 Lacs,"1,00,000",1 Lacs
6,Aila Prasanna,6272,Anti Corruption Dynamic Party,0,Illiterate,45,"2,50,000",2 Lacs,0,
7,Aitha Praveen Kumar,6875,IND,0,12th Pass,35,"10,000",10 Thou,0,
8,Akhil Chirravuri,6791,IND,0,Post Graduate,25,"2,14,000",2 Lacs,0,
9,Akula Hanmandlu,6313,IND,0,Literate,41,0,0,0,
10,Akula Paul,4605,Pyramid Party of India,0,10th Pass,36,"40,140",40 Thou,0,
11,Alakunta Rajanna,6314,IND,0,Illiterate,55,"1,000",1 Thou,0,
12,Aleti Malla Reddy,6315,IND,1,Illiterate,40,"1,03,83,500",1 Crore,"2,30,000",2 Lacs
13,Aleti Rajareddy,4834,IND,0,10th Pass,44,"12,73,000",12 Lacs,"1,00,000",1 Lacs
14,Aleti Sanjeev Reddy,6316,IND,0,10th Pass,33,"45,49,481",45 Lacs,"10,20,000",10 Lacs
15,Alige Jeevan,6759,Bahujan Mukti Party,0,Graduate,28,"51,000",51 Thou,0,
16,Alluri Limba Reddy,6317,IND,0,Illiterate,51,"16,80,000",16 Lacs,0,
17,Aloori Anil Kumar,6318,IND,0,10th Pass,27,"5,53,000",5 Lacs,0,
18,Ambala Mahendar,4650,IND,0,12th Pass,46,0,0,0,
19,Anagandula Venkanna,6273,BSP,1,Graduate,43,0,0,"3,50,000",3 Lacs
20,Andrapu Sudharshan Gangaputra,6795,IND,0,Graduate,43,"60,000",60 Thou,0,
21,Andukuri Vijaya Bhaskar,6790,India Praja Bandhu Party,0,Graduate Professional,49,"5,000",5 Thou,0,
22,Angu Poshetty,6319,IND,0,5th Pass,32,"1,37,500",1 Lacs,0,
23,Anil Kumar Gali,5080,INC,1,10th Pass,46,"12,15,68,484",12 Crore,"3,81,00,000",3 Crore
24,Anjaiah Kondani,5074,Pyramid Party of India,0,12th Pass,36,"8,22,000",8 Lacs,0,
25,Anjan Kumar Yadav,4666,INC,0,Graduate,58,"2,46,55,065",2 Crore,"24,00,000",24 Lacs
26,Anugu Thirumal,6751,IND,0,10th Pass,42,"40,85,000",40 Lacs,"2,75,000",2 Lacs
27,Anumula Revanth Reddy,5081,INC,42,Graduate,51,"24,53,57,182",24 Crore,"2,78,07,304",2 Crore
28,Anusha Keshavabhatla,6818,IND,0,Graduate Professional,32,"92,75,000",92 Lacs,"46,00,000",46 Lacs
29,Armoor Sagar,6320,IND,0,10th Pass,34,0,0,"75,000",75 Thou
30,Arsham Ashok,6215,IND,0,10th Pass,31,0,0,0,
31,Arun Kumar Mypathi,6878,Telangana Jana Samithi,1,Post Graduate,33,0,0,0,
32,Asaduddin Owaisi,4589,AIMIM,5,Graduate Professional,49,"17,90,44,376",17 Crore,"12,05,00,000",12 Crore
33,Asli Ganesh,6321,IND,0,12th Pass,29,"7,62,000",7 Lacs,0,
34,Avutapalli Rambabu,7208,IND,0,10th Pass,62,"74,950",74 Thou,0,
35,Ayileni Vikram Reddy,6322,IND,0,Post Graduate,39,"65,000",65 Thou,"1,30,000",1 Lacs
36,B Yosef,5786,BSP,0,10th Pass,52,"7,75,000",7 Lacs,0,
37,B. Janardhan Reddy,6814,BJP,0,Others,58,"1,19,73,13,405",119 Crore,"6,68,70,634",6 Crore
38,B. Srinivas,6726,IND,0,10th Pass,38,"99,33,775",99 Lacs,"2,00,000",2 Lacs
39,B.B.Patil,6753,TRS,18,Graduate,63,0,0,"1,15,35,000",1 Crore
40,Baaki Renuka,6836,National Womens Party,0,10th Pass,39,"7,00,000",7 Lacs,0,
41,Baddam Ashok,6323,IND,0,10th Pass,29,"10,500",10 Thou,"1,10,000",1 Lacs
42,Baddam Balaraju,6324,IND,0,10th Pass,39,"2,25,40,100",2 Crore,"13,18,875",13 Lacs
43,Baddam Devendar,6325,IND,0,10th Pass,34,"50,500",50 Thou,"1,00,000",1 Lacs
44,Baddam Indrasena Reddy,6326,IND,0,10th Pass,33,"33,07,500",33 Lacs,"4,65,000",4 Lacs
45,Baddam Srinivasa Reddy,6328,IND,0,Graduate Professional,44,"20,05,198",20 Lacs,"2,00,000",2 Lacs
46,Bakkashetti Ganagdhar,6329,IND,0,Illiterate,52,"1,01,50,000",1 Crore,"9,80,000",9 Lacs
47,Bala Kalyan Panja,6216,BSP,0,Graduate Professional,36,"7,65,220",7 Lacs,0,
48,Balakishna Nalla,6330,IND,0,5th Pass,48,"50,81,638",50 Lacs,"6,50,000",6 Lacs
49,Balamani Buru,6774,India Praja Bandhu Party,0,Graduate,32,0,0,0,
50,Balaram Naik Porika,4644,INC,1,10th Pass,55,"4,35,70,110",4 Crore,"3,36,00,000",3 Crore
51,Balije Laxmirajam,6334,IND,0,5th Pass,58,"16,37,500",16 Lacs,"1,25,000",1 Lacs
52,Balsingh Daravath,6880,Bhartiya Anarakshit Party,0,Post Graduate,33,"1,06,000",1 Lacs,0,
53,Balu Nayak Bhukya,6881,IND,0,Post Graduate,38,"27,50,000",27 Lacs,"10,25,000",10 Lacs
54,Banala Laxma Reddy,6754,BJP,3,12th Pass,47,"5,85,77,327",5 Crore,"52,50,000",52 Lacs
55,Bandaru Nagaraju,6852,IND,0,Post Graduate,25,"2,26,000",2 Lacs,0,
56,Bandela Venkatarajam,6335,IND,0,Illiterate,55,"20,50,000",20 Lacs,"6,00,000",6 Lacs
57,Bandi Sanjay Kumar,6274,BJP,6,Post Graduate,47,"22,70,000",22 Lacs,"13,41,800",13 Lacs
58,Bangaru Krishna,6769,IND,0,12th Pass,33,"51,000",51 Thou,0,
59,Banoth Laxma Naik,4640,IND,0,12th Pass,62,0,0,0,
60,Bapu Rao Soyam,5069,BJP,52,12th Pass,52,"30,99,414",30 Lacs,"2,31,450",2 Lacs
61,Barla Srinivas,5783,IND,0,Post Graduate,30,"15,000",15 Thou,0,
62,Baswaiah Madiga,6813,Prajaa Swaraaj Party,0,10th Pass,47,"24,75,117",24 Lacs,"12,42,117",12 Lacs
63,Bathnathe Shankar,6336,Janasena Party,0,12th Pass,42,"80,00,000",80 Lacs,0,
64,Bathula Ravi,6782,IND,0,12th Pass,48,"75,000",75 Thou,0,
65,Beeramganti Venkat Ramesh Naidu,4635,IND,0,Illiterate,59,"30,71,000",30 Lacs,0,
66,Bejjenki Linga Reddy,6337,IND,0,Illiterate,34,"6,60,000",6 Lacs,"2,00,000",2 Lacs
67,Benjamin Raju,6752,IND,0,Post Graduate,49,"75,58,960",75 Lacs,"30,00,000",30 Lacs
68,Bennala Julee,6820,National Women,0,12th Pass,34,"50,000",50 Thou,0,
69,Bhagavanth Rao Pawar,6805,BJP,3,Graduate Professional,67,0,0,"4,839",4 Thou
70,Bhanu Laxman Pabba,4825,IND,0,12th Pass,26,"4,94,297",4 Lacs,0,
71,Bharatesh,6765,SUCI(C),0,Post Graduate,42,"42,300",42 Thou,0,
72,Bhaskar Naik Bhukya.,6883,Janasena Party,0,Graduate,51,"1,30,70,000",1 Crore,"16,00,000",16 Lacs
73,Bheem Rao,5816,Ambedkarite Party of India,0,5th Pass,33,"2,74,000",2 Lacs,0,
74,Bheemanaboina Ramesh,6859,IND,0,10th Pass,32,"1,10,000",1 Lacs,0,
75,Bochu Krupakar,6873,Hum Bhartiya Party,0,Graduate,45,"11,50,000",11 Lacs,0,
76,Boda Venkat,4868,CPI(M),0,Graduate,54,"96,11,087",96 Lacs,"31,85,000",31 Lacs
77,Boddu Satish,6797,IND,0,Post Graduate,34,"33,000",33 Thou,0,
78,Bodugam Narender,6338,IND,0,12th Pass,42,"24,50,000",24 Lacs,"3,50,000",3 Lacs
79,Bollapally Saraiah,6870,BSP,0,Graduate,60,0,0,0,
80,Borranna Gummerla,6339,IND,0,Illiterate,60,"14,50,000",14 Lacs,0,
81,Bunga Jyothi Ramana,6872,Aihra National Party,1,Graduate,45,"16,65,000",16 Lacs,"3,00,000",3 Lacs
82,Byagari Shanthaiah,6340,IND,0,10th Pass,49,"32,06,000",32 Lacs,"95,000",95 Thou
83,Chalika Chandra Sekhar,4664,IND,0,Graduate,38,"42,70,000",42 Lacs,"7,02,000",7 Lacs
84,Challa Ram Kalyan,6789,Bhartiya Anarakshit Party,0,Post Graduate,37,"1,26,78,418",1 Crore,0,
85,Challa Vamshi Chand Reddy,4636,INC,4,12th Pass,38,"1,57,59,063",1 Crore,"17,22,846",17 Lacs
86,Chamakura Rajaiah,6772,Social Justice Party of India,1,Graduate,43,"3,05,000",3 Lacs,0,
87,Charagonda Krishnamma,6837,IND,0,12th Pass,45,"50,000",50 Thou,0,
88,Chepuri Raju,6821,Dalita Bahujana Party,0,5th Pass,39,"15,000",15 Thou,0,
89,Chiluveru Prathap,5775,IND,0,10th Pass,48,0,0,0,
90,Chinnaiah Mukkera,6341,IND,0,10th Pass,35,"43,22,700",43 Lacs,"9,50,000",9 Lacs
91,Chintalapelly Gangareddy,6342,IND,0,10th Pass,49,"12,60,000",12 Lacs,"1,00,000",1 Lacs
92,Chintha Anil Kumar,4592,Pyramid Party of India,0,Post Graduate,33,"25,000",25 Thou,0,
93,Chintha Sambamurthy,6869,BJP,0,12th Pass,65,"25,03,100",25 Lacs,"6,60,000",6 Lacs
94,Chinthalapally Raghupathi Reddy,6343,IND,0,10th Pass,41,"36,85,000",36 Lacs,"1,50,000",1 Lacs
95,D Thimmappa,4667,IND,0,Illiterate,53,"4,80,000",4 Lacs,"4,00,000",4 Lacs
96,D. K. Aruna,6832,BJP,2,10th Pass,59,"78,83,98,644",78 Crore,"5,16,70,191",5 Crore
97,Dabba Raja Reddy,6344,IND,0,Literate,48,"51,20,000",51 Lacs,"1,00,000",1 Lacs
98,Dayakar Pasnori,5094,TRS,0,Graduate,51,"2,48,89,712",2 Crore,"14,28,227",14 Lacs
99,Devaki Vasudeva Rao,7209,BJP,0,Others,47,0,0,"46,86,270",46 Lacs
100,Devanna Pindi,6346,IND,0,Illiterate,68,"6,42,000",6 Lacs,0,
101,Dharavth Narendhar,5815,Janasena Party,0,Post Graduate,27,"50,000",50 Thou,0,
102,Dharmapuri Arvind,4828,BJP,1,Post Graduate,43,"87,69,30,468",87 Crore,"33,75,80,746",33 Crore
103,Dharmasanam Bhanumurthy,6773,Praja Satta Party,2,10th Pass,57,"52,59,500",52 Lacs,"6,00,000",6 Lacs
104,Doda Mutta Reddy,6347,IND,0,5th Pass,31,"17,00,000",17 Lacs,"2,00,000",2 Lacs
105,Donthula Bikshapathi,6777,IND,0,Graduate,43,"1,86,10,000",1 Crore,0,
106,Dornala Jaya Prakash,6780,New India Party,2,Graduate,36,"13,64,218",13 Lacs,"1,00,000",1 Lacs
107,Dornala Jaya Prakash,4842,New India Party,2,Graduate,36,"13,64,218",13 Lacs,"1,00,000",1 Lacs
108,Dr Mallu Ravi,4637,INC,4,Graduate Professional,68,"26,57,82,483",26 Crore,"1,88,00,000",1 Crore
109,Dr. Agama Chandrashekar,4630,INC,0,Graduate Professional,60,0,0,"50,00,000",50 Lacs
110,Dr. Narsaiah Boora,5089,TRS,0,Post Graduate,60,"23,74,58,144",23 Crore,"4,29,63,534",4 Crore
